name	SRX2540520	SRX2540521	SRX2540509	SRX2540508	SRX2540518	SRX2540519	SRX2540514	SRX2540512	SRX2540513	SRX2540510	SRX2540511	SRX2540516	SRX2540517	SRX2540507	SRX2540515
hsa-miR-21-5p	123449.82194901326	88206.94959732151	131563.30940740302	103685.7177603288	83300.1296900932	113937.63089652563	51770.82370859844	95503.30372884707	96074.59768386224	164725.5970135415	50462.82501267351	102750.11310294103	198401.62757514697	101946.24007570643	86509.52903621015	1592288.2162382128
hsa-miR-451a	113731.15957524774	46255.542484843005	66172.34264632581	35552.155937070645	94750.38066900818	44919.54836129377	122658.30813001479	73890.38101358291	21326.515265453454	58777.35791997786	310887.58250220714	98402.5207876569	34176.40148604358	40826.1604726086	10902.787882562146	1173229.1451338967
hsa-miR-486-5p	113781.35720330942	151420.23346303502	70653.28018791338	54516.565678311206	76040.6476437118	91945.26751271874	57684.65317506885	52431.24783733461	84343.51030230112	36136.419074192156	56788.66222453426	63553.46681417605	64234.12073576971	62117.72769338891	42991.59102299939	1078638.750568765
hsa-let-7a-5p	38763.00997025285	38172.19837894448	45522.461551033026	60374.337095941635	52973.32147551131	74112.58343997544	85768.93902845026	58476.54984154178	55322.60490299288	45544.0833368484	25990.95510006113	35079.4265945762	27220.561887175718	49755.173008506135	67371.64675968318	760447.8523714944
hsa-miR-148a-3p	27024.729694139158	49983.48565740657	39262.59874535118	18340.952310189994	46012.99454686386	25916.72812800587	90966.17723479723	77905.38647860402	58738.15611370131	25508.50105059548	14072.918158142198	83074.21330183573	65434.34041060609	36900.36739891311	100848.67547318169	759990.2247023334
hsa-let-7f-5p	31461.269685418156	39848.00556726173	39274.91139429769	54744.57553780961	57338.97525106633	95054.76394750032	52483.75821169419	43432.72897706156	33288.71509500175	35246.52907476205	28769.992748253455	59673.6173344228	25321.485985021573	45440.78094800715	55740.882884938495	697120.9926425169
hsa-miR-26a-5p	35104.00446558099	34335.35426658222	51678.91472226432	99630.94241298188	26104.1577732655	37226.129706003354	27807.514326019424	39095.49781124531	37201.08286960445	88588.09382181388	20954.9202614567	33130.094241077444	11511.844367797996	73140.5648758289	43922.52858930424	659431.6445108266
hsa-miR-92a-3p	35048.9878652254	59728.53135462855	42298.64090543812	43207.01295146685	41831.17342787642	42892.130511630705	36776.21421405044	43258.800331746	55827.94405173711	26171.80980584311	15337.20568753636	24217.290028286294	21060.722071498607	55224.64912707966	21983.486503567627	564864.5988376113
hsa-let-7i-5p	24444.23696091512	34958.22399179562	25893.681563326514	34648.32523807119	45363.165633895514	50879.57358373723	28137.820514706793	34646.586146858026	22138.6674687923	32944.33484396553	54180.296104077024	37692.162827940716	16326.284930820922	30926.65590447628	32257.665314771268	505437.6810281501
hsa-miR-122-5p	8912.488467094952	15729.79820830694	27318.734650017843	5094.029827524399	78349.32863829465	33816.59327143478	7645.448012895625	14719.855877232007	43442.62295081968	10832.973149546882	26429.867802979836	5897.550669855121	73210.45422100855	89189.04344074648	16681.027935512215	457269.81712326995
hsa-miR-30d-5p	26585.165797745725	24576.735137091666	48826.9269519601	59042.06964370368	21860.20980833203	28147.053511144753	10909.177225184761	27160.331086907565	31655.13611069334	53793.80512416712	11634.960315464004	19212.502072522813	11249.676393311049	52729.65911225846	28050.083003942313	455433.49129442946
