name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
hsa-miR-486-5p	531266	368599	177609	272611	201439	327826	211710	165716	499146	822488	583407	851450	801827	1479849	1552658	1311858	976142	651507	1068070	928301	138	151	91	213	134	124	189	186	273867	1178192	782114	648074	907248	550714	853304	917461	873610	352417	363754	1126340	196260	226888	195227	520610	445439	2.4196224E7
hsa-miR-451a	673948	567035	295237	325782	25238	373457	167302	518206	105494	882651	1045226	1446223	445684	348762	553743	791625	745811	636658	872924	265322	58	60	89	85	70	39	45	21	790131	635842	1105639	366482	188220	732293	482750	780691	346578	257928	627312	347519	265021	521271	148279	1162414	1480405	2.132557E7
hsa-miR-92a-3p	133764	117674	68913	84791	18289	76657	43470	46884	158170	205079	234037	316336	293298	244266	353083	464589	230564	166419	467959	176495	21	20	16	33	26	11	34	22	221714	336612	226336	142636	302557	243657	363347	434414	162188	120976	105990	160502	53774	46435	85568	226091	338638	7472353.98
hsa-miR-191-5p	24231	63275	18135	36456	9363	31468	10349	21260	28129	56984	40935	56005	31241	42628	43794	66072	44532	32609	213882	31548	0	4	3	9	2	7	2	4	115522	87866	44395	22720	48343	109161	51673	182157	29059	33815	41341	34074	9567	25256	11131	76568	56309	1881884.0
hsa-miR-25-3p	50970	30647	14114	17719	2542	23173	12563	9436	15368	61120	64702	96839	22109	34144	59785	54524	48938	21053	63660	31090	2	2	4	3	0	6	0	0	39744	65624	78653	35696	47950	41334	81318	104126	22931	13799	34391	48565	17181	21841	13137	99628	84899	1585330.66
hsa-miR-140-3p	23108	12967	7039	6926	2836	15786	5439	7195	6738	24977	25771	38754	14815	24570	33687	29388	28458	16699	68435	17835	0	3	2	4	2	2	0	0	30076	32432	34930	24096	16435	37283	39878	33027	13205	8297	11710	13303	6268	20920	7772	59312	33945	834325.0
hsa-let-7i-5p	17294	9088	3760	13366	1330	10137	8317	4416	9897	22887	11560	16193	9592	8054	20453	47796	13099	15354	9270	16535	4	2	0	0	0	0	0	0	14075	13141	23657	20075	26085	21622	47108	58336	15113	4684	26341	25288	2956	7348	2947	107856	13056	698082.75
hsa-miR-423-3p	5420	8148	2731	5670	1446	3046	2768	4399	15349	12429	19914	27015	15104	25443	21406	27673	17507	10958	44405	18219	2	0	0	0	2	0	0	0	10513	23672	11088	8305	34253	18916	19746	36701	13751	10137	5245	11550	3271	3271	4079	7510	18251	529313.0
hsa-miR-30d-5p	7993	7540	4262	6174	1004	9145	4420	6593	5150	12531	12184	16993	10708	13050	13555	24830	15504	10470	48563	7106	0	0	2	2	3	0	0	0	24313	18610	14285	8041	12111	27069	38372	30474	4964	5541	9329	7437	2513	8653	4056	34785	19820	508144.0
hsa-let-7g-5p	12856	5201	2042	4601	693	1920	1254	2229	6797	21754	9641	13130	5992	4186	13437	13449	13174	8389	4580	11370	0	0	0	0	0	0	0	0	14268	16170	24559	9965	13226	11370	39193	34159	12085	3731	14733	8739	2937	2468	5643	35501	31634	437077.35
hsa-miR-423-5p	4661	7778	3633	5775	7246	7774	5019	5043	3708	8543	14398	20578	24271	27115	10959	33805	4600	17289	31673	16502	2	0	0	0	0	2	0	0	7118	10510	14007	8039	11240	17941	7693	14440	14743	2762	7907	12508	1632	3912	910	22796	6348	424880.0
hsa-miR-142-5p	9568	13079	5273	8610	556	6276	3035	13609	2512	15303	22397	30457	13091	7044	17966	15138	15854	14857	24348	3179	0	0	0	2	2	0	0	0	16543	19326	8891	2735	5181	15661	11760	7328	3648	8522	12145	8926	2913	9423	3419	20353	25173	424103.0
hsa-miR-22-3p	2350	5446	2057	5513	3243	2351	1790	4498	5766	6577	8487	10623	9904	5115	12930	20137	6556	6372	30537	18174	0	0	0	0	0	0	2	0	14055	11079	21153	5803	11458	11712	12042	62630	16710	3178	5084	6560	1453	3168	1934	13276	16880	386603.0
hsa-miR-3615	7435	6564	1876	4108	3590	3308	2186	2418	5717	8715	11582	16711	7964	12316	26128	23030	19087	12950	20662	16707	0	0	0	0	2	0	0	0	10468	15900	15478	10329	17109	11966	12287	21027	10698	3093	3237	8716	2409	2986	3464	8921	9639	380783.0
hsa-let-7a-5p	5915	4329	1900	3913	957	1854	978	1695	7501	14334	8358	10916	7604	4739	12462	13753	10073	5290	8197	11000	0	0	0	0	0	0	0	0	12842	13981	14667	7247	12018	11404	27886	28086	11177	3664	7046	9165	1520	1555	5417	21154	20114	344713.80999999994
hsa-miR-484	2887	4702	1884	2696	1523	4100	2885	2924	3768	6346	7136	9142	5768	8419	16505	20292	8699	7175	34176	13199	0	0	2	2	0	0	0	0	14575	8266	11198	5153	6593	10834	12988	47087	9231	2369	4040	6927	1244	3496	2316	12817	7052	330416.0
hsa-miR-185-5p	2639	5598	2258	4703	3105	4804	4459	4199	7022	7672	9700	13342	4668	6477	6520	16953	7907	7075	29883	10899	0	0	0	2	0	0	0	0	8385	17731	12866	4535	17750	14039	9225	19912	6154	2542	9521	13913	1261	3065	1579	19515	7504	329372.5
hsa-miR-182-5p	10158	12336	2157	2970	291	6981	2463	3555	3184	15894	9659	14500	5299	7821	7397	7248	8506	2444	7449	7876	0	0	0	0	0	0	0	0	11890	20797	16296	4052	8293	14998	8184	21991	6373	3902	14656	2941	3910	8650	1065	33207	8488	327881.0
hsa-let-7f-5p	8052	2999	1513	2699	443	1728	1025	3346	2735	15354	7099	9628	4297	3809	10673	8016	11761	5709	2757	4820	0	0	0	0	0	0	0	0	13450	14175	13534	7419	6067	8729	33984	15071	4497	3418	8038	6189	2048	2403	5261	33319	22474	308536.26
hsa-miR-103a-3p	5042	3602	1478	3322	815	3267	2643	2772	4451	6373	8470	11772	7262	2905	18687	16920	13770	6822	12312	6469	0	0	0	0	0	0	0	0	9852	11188	20464	6631	10626	8662	22262	13826	4038	1948	5664	6947	1379	1534	5007	14395	18446	302020.28
hsa-miR-26a-5p	4053	5690	2633	4445	234	3953	1874	4484	3916	8978	9699	12284	6009	5989	5134	7727	5929	6103	13781	3168	0	0	0	0	0	0	0	0	16908	14304	10883	3896	7804	14202	11851	33910	2883	3313	6981	5217	1804	3309	2356	20366	17311	293381.0
hsa-miR-425-5p	4717	4834	2603	2991	1635	5716	2715	4070	2802	7449	6928	9593	4079	4869	5938	10445	6493	6172	25406	7931	0	0	0	0	0	0	0	0	9622	7031	11824	4855	5879	7761	10354	18170	6558	2724	5773	5100	1475	5856	1639	20183	7082	259272.0
hsa-miR-363-3p	6125	4154	1911	2394	233	1793	1020	1757	4300	10895	10692	15315	4062	3837	10888	6727	10706	4608	6951	5670	0	0	0	0	0	0	0	0	6321	11105	12690	3852	11121	7326	15441	16990	4495	2599	3835	4418	2073	2484	3603	10724	19064	252179.0
hsa-miR-30c-5p	5519	10045	1458	3170	1010	4721	1856	3212	3780	7713	10401	14038	2422	6893	7138	6622	9170	5806	23498	2846	0	0	0	0	2	0	0	0	8148	11715	7174	3140	6560	12340	6986	18315	2486	3631	5864	3632	2519	5156	1573	9538	10038	250135.68
