name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
human_virus-hsa-bacteria_collection	0.01	0.01	0.01	0.02	0.07	0.03	0.03	0.02	0.02	0.01	0.02	0.02	0.03	0.04	0.01	0.03	0.05	0.03	0.09	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.02	0.02	0.04	0.05	0.05	0.06	0.01	0.01	0.03	0.03	0.01	0.03	0.04	0.04	0.02
hsa-bacteria_collection	0.26	0.23	0.31	0.54	0.45	0.41	0.44	0.46	0.68	0.37	0.7	0.64	0.8	0.55	0.47	0.63	0.79	1.04	1.04	0.65	2.14	1.91	2.93	0.82	2.44	0.68	3.02	3.49	0.6	0.51	0.52	0.6	0.67	0.83	0.62	0.67	0.47	0.31	0.37	0.42	0.27	0.37	0.57	0.55	0.59
human_virus-bacteria_collection	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.03	0.05	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.02	0.02	0.01	0.02	0.03	0.02	0.03	0.03	0.01	0.0	0.01	0.01	0.01	0.01	0.02	0.01	0.01
unmapped	0.5023080241073535	0.28020322615442816	0.37600055982903685	0.5386224159415167	0.4323656578134651	0.8611071612176368	0.3671076866564498	0.21547258106376257	0.24559741074083413	0.5700566650979874	0.2958181815677078	0.3198729014557544	0.2409970439811324	0.5927357262632321	0.22168075919433036	0.41968895703601716	0.3633124907558846	0.18818445663443775	0.32342600424692397	0.22048314999012836	3.3333333333333335	11.217183770883056	0.0	0.0	0.0	0.6802721088435374	1.0075566750629723	0.5813953488372093	0.27599188521991275	0.5758024210190872	0.2413603386739545	0.23120529945098392	0.21082726286262155	0.3439785313131127	0.4154756573016279	0.3446629373223212	0.42545123734296225	0.457293261878234	0.6737375654662747	0.7103170357872634	0.4672036533597411	0.5169408648519908	0.2370973985448283	0.5677731662684841	0.19241199120530922
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	86.28	91.51	86.73	90.91	73.52	89.69	71.41	88.21	78.65	87.36	91.03	91.45	83.84	90.27	86.85	86.82	92.92	89.65	86.87	80.76	88.33	75.89	89.58	94.44	82.93	93.2	92.19	92.44	89.63	89.45	84.74	82.28	85.02	88.83	87.29	85.21	76.08	87.9	81.45	86.85	85.13	85.55	85.89	91.78	89.08
bacteria_collection	9.02	6.0	9.91	3.92	19.16	6.37	23.52	8.27	9.63	8.65	4.14	4.19	9.75	5.94	7.82	7.64	2.61	2.75	4.76	10.46	2.86	6.21	4.89	2.06	10.84	4.08	2.27	2.91	5.75	6.86	8.37	8.86	9.37	5.27	4.71	7.78	13.08	8.56	13.4	7.67	10.89	10.05	8.98	2.29	5.96
human_virus-hsa	0.01	0.0	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.04	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.01
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	1.43	0.0	1.23	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	3.89	1.95	2.63	4.0	6.28	2.6	4.18	2.79	10.66	3.01	3.74	3.31	5.24	2.55	4.55	4.38	3.16	6.22	6.76	7.8	2.62	3.34	2.61	1.44	3.79	0.68	0.5	0.58	3.64	2.52	6.03	7.93	4.59	4.57	6.81	5.85	9.86	2.73	4.04	4.26	3.2	3.43	4.19	4.71	4.09
bacteria_collection_HR-hsa_HR	0.01	0.0	0.0	0.01	0.01	0.01	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.02	0.02	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.0	0.01	0.01
