name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#sense	0.06	0.09	0.03	0.05	0.04	0.05	0.04	0.04	0.06	0.06	0.06	0.06	0.09	0.06	0.05	0.04	0.06	0.09	0.06	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.06	0.05	0.05	0.07	0.05	0.08	0.05	0.06	0.05	0.07	0.05	0.04	0.06	0.03	0.03	0.04	0.04
processed_pseudogene#antisense	0.19	0.08	0.09	0.19	0.18	0.1	0.1	0.11	0.75	0.16	0.35	0.27	0.4	0.15	0.38	0.22	0.4	0.66	0.38	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.16	0.27	0.4	0.19	0.26	0.2	0.24	0.33	0.13	0.09	0.21	0.11	0.06	0.23	0.09	0.26
rnase#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y_RNA #sense	2.66	1.29	3.35	7.42	6.89	1.46	4.87	1.53	5.75	4.07	3.22	3.23	8.25	1.87	4.61	4.93	3.95	4.34	3.42	6.33	22.96	5.97	4.35	3.81	6.48	7.59	9.0	2.94	2.5	1.96	4.55	5.32	9.33	6.38	10.18	7.83	4.9	0.83	3.5	9.72	1.21	1.65	6.65	5.87	2.35
retained_intron#sense	7.7	18.33	3.37	2.24	4.81	6.28	4.24	4.63	1.52	5.93	2.45	2.59	3.1	6.98	1.69	1.05	2.27	2.17	1.4	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	5.28	3.95	3.02	4.62	1.57	2.67	0.98	3.13	2.48	5.48	5.57	1.44	9.79	5.11	1.38	2.81	2.21
antisense_RNA#sense	1.56	0.56	0.47	1.05	2.38	1.18	1.54	0.57	0.75	1.25	0.7	0.65	2.38	0.46	0.53	0.58	0.83	0.84	0.6	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.86	0.46	1.89	1.89	0.63	0.69	1.97	1.4	1.09	0.4	1.62	0.88	0.78	0.39	0.62	2.13	0.57
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.06	0.01	0.08	0.02	0.01	0.1	0.11	0.07	0.02	0.04	0.02	0.05	0.02	0.18	0.01	0.05	0.02	0.01	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.02	0.01	0.02	0.06	0.05	0.06	0.02	0.04	0.09	0.06	0.04	0.05	0.01	0.2	0.05
sense_overlapping#sense	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.04	0.01	0.03	0.03	0.04	0.03	0.05	0.03	0.06	0.06	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.04	0.03	0.04	0.04	0.02	0.02	0.02	0.03	0.02	0.01	0.03	0.01	0.01	0.05	0.01	0.03
