name	SRX2742138	SRX2742139	SRX2742130	SRX2742131	SRX2742132	SRX2742133	SRX2742134	SRX2742135	SRX2742136	SRX2742137	SRX2742158	SRX2742159	SRX2742152	SRX2742153	SRX2742150	SRX2742151	SRX2742156	SRX2742157	SRX2742154	SRX2742155	SRX2742129	SRX2742128	SRX2742127	SRX2742126	SRX2742125	SRX2742124	SRX2742123	SRX2742122	SRX2742149	SRX2742148	SRX2742161	SRX2742160	SRX2742166	SRX2742165	SRX2742164	SRX2742141	SRX2742140	SRX2742143	SRX2742142	SRX2742145	SRX2742144	SRX2742147	SRX2742146	SRX2742163	SRX2742162
hsa-miR-98-5p	26.05223259091588	17.13371492316901	42.93898982959355	33.06064005399145	9.763177849302094	12.006023360872573	18.583353775022484	46.054737740734296	38.722831729052295	56.20970291136037	18.454080277196297	20.270141219424588	23.035898646377035	10.06487400307113	24.486051285025972	38.044914792778194	40.29664981131198	23.55786816069087	13.196643678420855	29.613971814399175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.28946755093901	51.138514398858575	43.7437466409089	22.105093536911372	50.754291425252894	48.02776757035663	133.45867438299214	52.00286692681374	23.203567875790707	51.18817775651119	60.0154616104488	33.825889288669735	9.137695277443273	19.835506974305936	75.26932304652586	81.44274622341963	51.501338377628294
hsa-miR-651-5p	0.0	0.0	0.0	0.0	0.0	0.0	3.716670755004497	3.369858859078119	0.0	0.8395773399755095	0.0	0.0	0.0	0.0	2.3335923620855246	0.6226663632205923	0.8308587589961233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.112478842043023	0.0	1.0990891115806256	0.0	0.0	2.3799686605726773	4.1032643930205115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.160097934946224	0.0
hsa-miR-6131	0.0	0.0	0.0	2.2800441416545825	0.0	0.0	0.0	0.0	5.1907281138139805	0.8395773399755095	0.8653730493409753	0.6161137148761272	1.0827684440130214	0.0	0.6667406748815785	0.0	0.0	1.6727480350786414	0.8926703728356835	2.875142894601862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7327260743870838	1.3772643948231387	1.6206798752076497	0.0	1.2309793179061534	0.6370948474954209	3.5697796731985703	0.0	0.0	4.530253029732553	0.0	0.0	0.0	1.053365978315408	1.037636098944828
hsa-miR-6866-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.679154679951019	0.0	0.6161137148761272	0.0	0.0	0.0	1.2453327264411846	0.8308587589961233	0.0	0.5951135818904557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3772643948231387	0.0	0.951987464229071	2.0516321965102557	0.6370948474954209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5112199277180265	0.0
hsa-miR-6130	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2053712382920424	0.0	0.0	0.22224689162719283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27355095953470077	0.6370948474954209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6917573992965519
hsa-miR-656-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8653730493409753	0.6161137148761272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.951987464229071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3667-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6667406748815785	0.0	0.0	0.0	3.570681491342734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.951987464229071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6750-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8266836963508115	0.0	0.6226663632205923	0.0	0.0	0.8926703728356835	2.875142894601862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4654521487741676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7022439855436053	0.0
hsa-miR-148a-5p	15.863186120932388	22.251577822297413	16.86888886162604	15.960308991582078	16.271963082170156	18.314272923364943	20.441689152524734	22.46572572718746	15.572184341441943	15.951969459534682	24.230445381547305	28.95734459917798	14.07598977216928	10.74688805256055	16.66851687203946	9.962661811529477	14.540028282432157	14.497149637348226	37.789712450043936	27.60137178817787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.924449893118595	16.378883615292782	19.41724097125772	24.102126909404927	24.310198128114745	36.65151737281923	22.567954161612814	30.5805526797802	22.01364131805785	15.579010621546884	13.328974524822058	14.597481984693784	31.00289469132539	22.264344562996456	10.85615236247969	32.65434532777765	26.632659872917248
hsa-miR-618	25.01502426762415	59.33754085945977	9.201212106341476	6.840132424963747	9.763177849302094	21.366651743925765	0.0	11.23286286359373	20.762912455255922	18.050912809473456	28.98999715292267	25.56871916735928	2.7069211100325536	13.640280989788389	21.002331258769722	22.415989075941322	21.186898354401144	21.74572445602234	20.82897536616595	35.651771893063085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.4683797357529	23.658387444311796	34.071762458999395	11.70674735599668	14.586118876868847	0.0	13.540772496967687	27.076531018555386	35.697796731985704	33.38359418902904	28.762523974616023	17.114289223434092	73.42790847945487	10.120156619543843	32.56845708743907	14.044879710872106	26.978538572565526
hsa-miR-185-5p	1610.1133912746375	4151.773562010326	3462.7228226865086	5361.523799100751	10103.261877719451	4887.875951324732	8285.388280593776	4716.679116423007	7289.339490228974	3220.4087818110606	4196.8429460413945	4109.940563509926	2526.910856215389	2677.0084797080153	2173.574600113946	5277.875761248545	3284.8001036911733	3944.8974493937963	8891.889583816243	6266.948967363678	0.0	0.0	0.0	5555.555555555556	0.0	0.0	0.0	0.0	4664.067545265373	6453.462132021081	4713.62683653211	3122.9470152614667	9588.752481666059	6682.476005155963	3785.2614025614216	6342.91630166441	3661.404018144	2828.146821047243	6679.219286885833	7003.016141794906	2056.797303074508	3101.321996059211	2856.0727506956982	6851.970127945343	2595.473762160663
