name	SRX3292449	SRX3292448	SRX3292447	SRX3292446	SRX3292445	SRX3292444	SRX3292443	SRX3292442	SRX3292441	SRX3292440	SRX3292429	SRX3292428	SRX3292416	SRX3292415	SRX3292421	SRX3292420	SRX3292423	SRX3292422	SRX3292425	SRX3292424	SRX3292427	SRX3292426	SRX3292417	SRX3292435	SRX3292450	SRX3292451	SRX3292452	SRX3292453	SRX3292454	SRX3292438	SRX3292439	SRX3292418	SRX3292419	SRX3292432	SRX3292433	SRX3292430	SRX3292431	SRX3292436	SRX3292437	SRX3292434	SRX3292413	SRX3292414
human_virus-hsa-bacteria_collection	0.04	0.13	0.05	0.14	0.04	0.33	0.04	0.2	0.04	0.07	0.03	0.02	0.03	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.01	0.01	0.0	0.03	0.05	0.08	0.09	0.03	0.02	0.04	0.03	0.01	0.01	0.02	0.0	0.01	0.01	0.06	0.1	0.0	0.03	0.05
hsa-bacteria_collection	2.37	4.84	2.8	6.18	2.28	12.56	2.55	10.07	2.4	3.71	1.47	1.32	1.93	0.18	0.19	0.11	0.06	0.74	0.21	0.07	0.52	0.72	0.1	1.46	4.4	4.49	4.29	1.36	1.69	2.24	3.06	0.84	0.49	0.56	0.24	0.86	0.29	3.05	5.87	0.2	1.42	2.68
human_virus-bacteria_collection	0.07	0.15	0.07	0.21	0.06	0.58	0.06	0.3	0.06	0.09	0.05	0.04	0.06	0.0	0.01	0.0	0.0	0.03	0.01	0.0	0.02	0.02	0.0	0.05	0.06	0.11	0.14	0.05	0.06	0.06	0.11	0.02	0.01	0.02	0.01	0.02	0.01	0.08	0.19	0.0	0.04	0.09
unmapped	7.724682624451978	5.193547996757058	3.3610316309332497	6.570369256321561	8.201047241876418	3.7558213555801254	12.01581139080051	19.298884036875304	19.741858945485227	27.42019639637951	2.50787131556236	2.705250557313644	4.00731763091699	1.1621499736423258	1.7757476340694007	0.4228741276947399	0.3216308905233658	3.0028014111981984	0.5192305000127925	0.47252240056157874	1.1963237291395057	1.5124286431385503	1.2586889816871771	4.257144084261161	7.987596627755003	10.301238527865776	11.134436672608652	8.126805778491171	4.661719891086788	10.150800602128921	2.688411168766988	3.3316230512085885	1.9357684499767644	1.1433560107432252	1.342457555861306	3.2825282869804773	0.932006820632413	9.971038069880155	8.685193777625827	2.0033155228553126	2.42795372616062	1.3415819289388229
hsa	80.9	81.11	87.86	75.83	79.56	70.6	72.57	52.79	64.62	54.06	91.89	91.86	89.93	97.13	96.38	99.0	99.24	93.09	98.6	98.91	96.8	95.96	97.82	90.75	40.1	72.42	74.27	84.79	89.08	77.93	90.01	91.11	94.65	96.85	97.15	92.15	97.55	79.07	76.04	95.91	92.68	92.64
bacteria_collection	7.45	7.02	4.76	9.12	8.15	10.15	10.6	14.82	10.08	12.17	2.51	3.24	3.15	0.68	1.26	0.26	0.18	2.23	0.4	0.34	1.06	1.22	0.52	2.65	41.31	10.19	8.12	4.54	3.66	7.89	3.38	3.73	2.31	1.07	0.92	2.94	0.84	6.45	7.54	1.34	2.43	2.57
human_virus-hsa	0.04	0.09	0.07	0.09	0.04	0.27	0.04	0.18	0.05	0.05	0.02	0.06	0.04	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.01	0.0	0.01	0.96	0.06	0.1	0.03	0.05	0.03	0.06	0.01	0.02	0.01	0.0	0.02	0.01	0.07	0.09	0.0	0.02	0.04
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	0.45	0.37	0.36	0.4	0.6	0.46	0.93	0.5	1.79	1.13	1.21	0.4	0.41	0.76	0.22	0.18	0.17	0.59	0.19	0.17	0.25	0.41	0.23	0.47	0.35	0.98	0.61	0.53	0.4	0.71	0.3	0.43	0.29	0.22	0.21	0.3	0.27	0.48	0.61	0.36	0.65	0.3
bacteria_collection_HR-hsa_HR	0.1	0.27	0.11	0.37	0.1	0.66	0.1	0.44	0.1	0.19	0.06	0.05	0.11	0.0	0.01	0.0	0.0	0.03	0.01	0.0	0.02	0.04	0.0	0.06	0.09	0.2	0.21	0.06	0.09	0.09	0.13	0.03	0.02	0.02	0.01	0.03	0.01	0.12	0.33	0.01	0.07	0.16
bacteria_collection_HR	0.79	0.61	0.4	0.87	0.88	0.17	1.01	1.14	1.06	1.01	0.22	0.24	0.3	0.06	0.14	0.02	0.02	0.24	0.03	0.03	0.1	0.07	0.05	0.23	3.54	1.05	0.84	0.41	0.23	0.78	0.07	0.44	0.24	0.08	0.1	0.35	0.08	0.56	0.39	0.16	0.19	0.05
human_virus	0.08	0.2	0.16	0.22	0.09	0.47	0.08	0.26	0.07	0.11	0.04	0.07	0.04	0.01	0.01	0.01	0.0	0.02	0.01	0.0	0.02	0.02	0.0	0.04	1.15	0.13	0.2	0.09	0.06	0.08	0.15	0.03	0.03	0.02	0.01	0.04	0.01	0.09	0.16	0.01	0.04	0.06
