name	SRX3292449	SRX3292448	SRX3292447	SRX3292446	SRX3292445	SRX3292444	SRX3292443	SRX3292442	SRX3292441	SRX3292440	SRX3292429	SRX3292428	SRX3292416	SRX3292415	SRX3292421	SRX3292420	SRX3292423	SRX3292422	SRX3292425	SRX3292424	SRX3292427	SRX3292426	SRX3292417	SRX3292435	SRX3292450	SRX3292451	SRX3292452	SRX3292453	SRX3292454	SRX3292438	SRX3292439	SRX3292418	SRX3292419	SRX3292432	SRX3292433	SRX3292430	SRX3292431	SRX3292436	SRX3292437	SRX3292434	SRX3292413	SRX3292414
tRNA#antisense	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#sense	0.15	0.17	0.11	0.26	0.09	0.54	0.28	0.45	0.13	0.25	0.08	0.04	0.08	0.02	0.03	0.0	0.0	0.06	0.01	0.0	0.03	0.05	0.01	0.06	0.12	0.19	0.14	0.08	0.06	0.26	0.17	0.04	0.04	0.02	0.02	0.06	0.02	0.14	0.27	0.02	0.09	0.17
processed_pseudogene#antisense	0.06	0.05	0.05	0.08	0.07	0.14	0.1	0.22	0.25	0.26	0.03	0.03	0.06	0.06	0.01	0.0	0.0	0.02	0.0	0.0	0.01	0.01	0.0	0.07	0.04	0.12	0.1	0.07	0.06	0.06	0.02	0.04	0.01	0.01	0.01	0.02	0.01	0.11	0.08	0.03	0.02	0.02
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y_RNA #sense	65.57	66.38	72.79	57.64	62.59	29.96	35.88	18.15	41.53	23.0	80.89	84.1	81.94	90.76	91.38	84.1	90.39	82.44	87.3	89.86	89.55	80.2	87.11	81.75	22.35	27.46	61.93	77.27	82.23	49.99	64.85	82.17	87.03	85.28	91.08	82.83	89.57	67.24	35.34	90.86	74.91	83.97
TR_C_gene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
retained_intron#sense	0.13	0.25	0.15	0.24	0.15	0.53	0.2	0.45	0.25	0.62	0.06	0.08	0.08	0.03	0.01	0.01	0.01	0.05	0.01	0.01	0.03	0.04	0.02	0.07	0.6	0.25	0.22	0.09	0.08	0.18	0.1	0.06	0.03	0.04	0.02	0.05	0.02	0.17	0.23	0.03	0.07	0.1
antisense_RNA#sense	1.27	2.25	1.41	2.94	1.23	4.98	1.38	4.73	1.71	2.08	0.82	0.72	0.91	0.38	0.37	0.3	0.3	0.61	0.37	0.27	0.48	0.51	0.33	0.87	2.32	2.19	1.99	0.9	0.84	1.33	1.5	0.61	0.46	0.56	0.38	0.63	0.42	1.43	2.78	0.42	0.8	1.52
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
