name	SRX3292449	SRX3292448	SRX3292447	SRX3292446	SRX3292445	SRX3292444	SRX3292443	SRX3292442	SRX3292441	SRX3292440	SRX3292429	SRX3292428	SRX3292416	SRX3292415	SRX3292421	SRX3292420	SRX3292423	SRX3292422	SRX3292425	SRX3292424	SRX3292427	SRX3292426	SRX3292417	SRX3292435	SRX3292450	SRX3292451	SRX3292452	SRX3292453	SRX3292454	SRX3292438	SRX3292439	SRX3292418	SRX3292419	SRX3292432	SRX3292433	SRX3292430	SRX3292431	SRX3292436	SRX3292437	SRX3292434	SRX3292413	SRX3292414
hsa-miR-486-5p	270866.33740254096	92630.712227254	136141.09597121453	160743.13408723747	399332.12051735737	205462.05144490316	434601.2131232093	315626.527619358	359505.9768860672	459491.1282222966	109473.63691505854	115881.57493132568	85444.23440453687	83980.6705919219	169357.77249195465	35138.97359565657	38664.1832009496	167382.186523167	34733.52741964233	19885.226612740626	108183.11223818467	167509.76380881533	44425.848213736324	155760.66492170637	228605.86115392193	154028.31313847163	121119.07198908224	115454.47940129333	140930.5461901551	135581.77762122813	240108.40108401084	147154.51999284906	91054.5306011301	56177.44148955899	103961.73774412116	206094.25704843848	179582.14356393655	138668.77971473848	250738.57051920283	99822.81664380428	164194.0967392984	103119.58405545927	6846618.602061534
hsa-miR-122-5p	26589.631286304477	120214.07986825853	101633.92909809474	188408.72374798064	31649.512796869934	57240.393775801844	105044.31750338254	60778.88218999511	125539.40776747186	47204.55306327419	27654.84240558938	89556.41469121986	172400.7561436673	17515.214487160458	40408.5630334406	36849.22100576195	4443.026512716815	192913.38582677164	4170.875170815757	19190.0862756427	132238.42390459214	54007.81104705226	5643.682545933373	76732.33227717316	141233.18307704787	423132.76753150224	61071.30672125555	93438.93046574149	43380.534951674534	229218.0345191969	56097.560975609755	141111.97187295157	306510.5407674677	13189.421757353213	29956.1578318055	35279.40694870344	82779.67826750728	95879.5562599049	117534.72505590285	128686.55692729766	48515.59951235427	222703.63951473136	4007747.6393829794
hsa-miR-451a	180660.39201068555	93659.94236311238	109302.18840323247	84006.4620355412	77429.1624093503	257303.9060019054	118171.7660940188	90760.95812286134	37200.535687713906	72815.53398058252	60678.90279244266	33039.98372164005	32892.24952741021	10175.976778322036	55435.847208618994	51222.12318046309	44824.36673970058	75732.9956870969	48689.91741429506	35220.44374629484	85850.30921422504	107662.26520364516	39914.347949150244	46149.60738393718	107871.65254875604	114963.78753046514	62094.848174684405	61105.86354719175	48325.466396943135	181184.20022699697	165582.65582655827	43930.635838150294	40404.3842330996	30570.082712065574	53296.133917895575	58307.779332519574	85592.71719770433	18967.908082408874	150505.16591313432	22433.699131229994	95211.11282817356	60658.57885615251	3249806.855950375
hsa-let-7b-5p	56903.674711893895	45574.31041580897	33185.86680823453	73909.53150242327	31649.512796869934	98872.65798666242	27605.971646689348	237884.96007821412	188939.04072218642	100594.24171409442	55863.455619706605	74526.910163801	164965.3434152489	76813.78127422363	39574.64670491115	17976.150365293495	13339.401247050102	41176.35421200491	26932.743152516192	22354.32897892611	51946.19552865464	50235.26129812163	17892.91032377952	100640.58410249345	40540.22735436921	31223.532055381744	249198.22586148072	188603.50214342805	121712.74443695213	60420.70271222261	105826.55826558266	32344.31797866635	39602.763973041045	23226.512369719225	22654.44400159426	53251.80862782458	34584.122586299505	254962.36133122025	69461.53720599996	83304.7553726566	51652.24334209035	60658.57885615251	3172586.773244491
hsa-miR-423-5p	76476.25260149722	173116.50885137916	121158.4970211762	207996.7689822294	106686.27108929149	50492.21975230232	44321.0360651568	50024.44190972788	44243.837111254405	47874.12119183127	55758.99175521758	60611.4558958185	81915.56395715187	132848.44886447975	58653.980691199096	41672.886394363435	31110.568960744666	38103.90535353935	49117.69948309667	38118.36645030048	43206.25844806756	66170.7271712851	37915.80009598937	105294.5768471323	91370.4995538663	48381.24211363283	57659.501876492664	72803.8944997457	74848.28051247471	28795.35047551955	62330.62330623306	70055.41982003457	39712.25633694147	74158.97036460071	52865.683539258665	49644.22876536961	69393.00556953436	58389.46117274168	49863.711296456495	95936.21399176955	50412.95351911949	58925.47660311958	2868435.9582611425
hsa-miR-92a-3p	61566.17898300873	10292.301358583778	22119.978764820386	22617.124394184168	52483.36531512448	57637.34518894888	75489.89476138496	64689.58774645592	64051.05566853496	86960.16069635085	75124.12104329074	49598.12798860515	29615.626969124136	46228.95123117774	64530.57226808451	15136.329322852915	14483.23426056685	56057.848296601114	26415.542748499793	18148.8804027601	43684.73307096974	63976.19490422169	29621.33425220591	51889.60830233732	86016.89514119842	37733.566107202736	33435.68747867622	38218.411683499246	61586.873454708926	47395.40526789558	69105.69105691057	43823.37167034146	42412.68976785349	23129.705871443934	46313.27222000797	55985.59052070618	48528.45551440446	47939.77812995245	84025.6581846671	58299.039780521256	61127.42320438195	49393.414211438474	2036889.0272045059
hsa-miR-21-5p	22458.298387848292	27995.059695347878	25128.29587683596	9491.114701130857	7750.392503800433	10082.565893934583	6825.142808694638	7006.680788658954	4662.46713952681	3096.7525945764983	75011.79430728103	50412.04598636688	33648.393194706994	37784.7046987614	85210.57786483839	132550.5717173699	116522.71010542219	48134.37265065485	104034.22256550414	130490.78111505324	66543.85818012177	49748.93063046309	95753.08581203312	48904.80782476925	13940.229671946881	6698.010474824123	51518.25315591948	45484.2694180048	60238.25578781749	11440.35458494775	16802.168021680216	61760.324176151604	54530.60113009735	46593.22725418196	106895.1773614986	48155.64619369436	42548.98080348308	34815.76862123613	13367.718347560676	46810.699588477364	68665.327357956	79722.70363951473	2009235.342632694
hsa-miR-30d-5p	24772.46606405119	23672.29312474269	18049.902672093434	14842.487883683361	16771.749694719267	12781.835503334392	14254.374344245789	5540.16620498615	5654.481424532513	11550.050217609642	71417.33875497046	35926.84911995117	29741.650913673602	42650.042056305974	95088.84846788862	57568.377909233204	66980.85322999113	41610.61211569659	103246.98473055672	80867.99254905854	50622.61510305147	66440.39427189883	104792.08456909389	25026.404004224638	19861.64061323105	7890.6884690508705	21835.55100648243	20053.76734723534	59226.792537648915	16996.643966968026	23577.235772357722	58882.06900661463	43950.1214060408	88676.2360446571	95926.66400956556	65073.38712078359	61582.93517288174	31423.33597464342	20084.22152218976	43338.47736625514	50764.95132127956	27729.63604852686	1776745.2096360058
hsa-miR-320a-3p	39610.319013450135	84918.34774255523	80981.8742574007	48875.875067312874	89290.07543905245	16112.44688412043	11312.928222113549	7984.357177774156	6233.1564241191745	9122.865751590223	29533.373343046922	21242.77526658237	19861.37366099559	61237.9868576989	25759.726025571832	19382.479032155534	27087.716429144482	33896.1163146064	15658.238341382537	19244.797588919137	35237.762014697146	19113.508152005452	24568.399456411855	27995.89781267698	44582.02762662941	40526.19405669378	16035.482770385534	29504.226307248904	13999.9357801111	45323.71706167497	19783.19783197832	48157.014310402075	24964.475090419674	51617.415632103526	27638.102829812677	71711.70337794829	38080.563711730494	10400.158478605388	22168.92959543979	22969.059594573995	43693.51579983632	37261.69844020797	1382679.8145711864
hsa-miR-22-3p	27801.074767806665	77398.10621655002	73615.28932932224	30492.730210016158	22777.68086325915	18418.54557002223	14657.100162150131	6680.788658953886	5555.2799960319435	7783.729494476062	19365.12928807315	9232.882287109574	7183.364839319472	11017.102897761944	18245.4176577585	38542.408591327636	47024.76740967332	15688.679618565267	38339.967916344845	38972.99786041221	28110.384095503534	21071.229310024177	24745.566644925486	9459.521513523441	24728.553715656395	15677.66580816898	6823.609689525759	7629.150621230837	11013.710946280064	20593.616688192244	15176.151761517614	22024.909123413385	14829.691152109288	64010.97882126034	32506.974890394577	24278.78174402334	34760.114217862094	8666.798732171157	18786.622488452183	6115.683584819387	20338.604715053487	19930.675909878682	980072.039808921
