name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
hsa-miR-214-5p	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
hsa-miR-4645-3p	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-98-5p	52	16	53	6	143	429	965	5	12	7	839	0	9	180	3236	7	17	31	24	39	17	20	23	100	41	19	21	12	15	53	51	17	18	17	8	26	1	42	22	65	13	2010	36	41	71	5	16
hsa-miR-767-5p	0	3	0	0	0	0	11	0	0	0	2	0	0	0	13	0	0	4	0	2	0	26	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	14	23	2	4	0	0	0	0	0
hsa-miR-651-5p	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-656-3p	0	0	0	0	0	3	10	0	0	0	5	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0
hsa-miR-376a-3p	0	0	0	0	0	3	5	0	0	0	5	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-148a-5p	5	0	0	0	20	5	8	8	2	0	14	0	0	0	30	0	0	0	2	3	0	0	9	5	0	0	8	6	7	0	5	0	0	0	2	8	0	0	8	0	2	5	0	0	2	0	8
hsa-miR-618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-185-5p	0	0	0	0	0	3	10	0	0	0	6	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0
hsa-miR-377-5p	0	0	0	0	0	3	8	0	0	0	0	0	0	2	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
hsa-miR-30b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
