name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
hsa-bacteria_collection	21.53	27.19	60.71	48.68	44.99	51.43	19.1	53.51	65.03	67.67	46.63	69.9	11.74	45.1	27.32	43.07	60.33	69.84	61.79	48.7	27.4	38.31	54.71	30.86	35.53	60.68	65.44	32.09	52.92	35.81	55.64	59.3	58.91	55.36	34.61	70.27	65.8	63.07	44.66	62.13	65.55	14.82	20.5	32.85	60.83	55.84	53.8	2251.9500000000003
bacteria_collection	25.96	24.78	16.52	19.08	15.18	32.23	11.16	24.15	18.1	18.75	6.74	12.48	27.99	17.42	12.81	24.8	15.72	12.6	16.78	21.86	29.7	20.33	19.46	23.03	27.95	20.69	15.42	24.82	22.59	29.92	23.27	21.25	21.93	22.35	24.92	15.4	11.56	17.9	27.28	15.49	16.84	11.79	27.18	26.76	16.42	23.3	13.21	945.8699999999998
hsa	22.97	24.83	9.53	14.73	31.64	7.91	50.87	6.19	6.76	5.15	38.74	7.13	29.88	17.93	43.22	13.05	10.86	8.27	8.71	11.55	18.87	18.59	11.99	20.69	16.03	7.3	8.6	19.24	9.08	12.95	7.97	7.26	7.3	8.12	18.32	5.42	12.36	7.61	11.83	8.89	8.32	51.82	28.71	16.71	9.8	7.74	16.93	748.3700000000002
unmapped	21.27914368929168	16.950487996395005	8.096528042731782	13.102776911575395	4.6369144701816065	4.454185460082275	5.834248665467118	13.38392995461509	5.176272959951158	6.040251345960619	1.983685997021447	8.13061627165653	23.756263870896476	13.715926825176242	6.20387216603517	13.151599484848933	8.662749270557157	6.390127576176684	8.379802308096156	13.831412534458135	18.32309912561193	16.901039986187	8.939572002044148	19.964583061643317	15.830409651228505	6.749050967100325	5.624416052483853	18.080397189503476	10.837818496448085	17.163190018539566	10.083909732735208	8.877708173040489	7.438501340632616	10.142953159162598	16.08534426275215	5.401247921434119	3.9205004065142126	8.265231913602442	10.56558274824334	9.764294812190327	5.40286850154922	11.31807871318114	15.040378156970085	19.04692192421165	9.309877845187552	8.55768115108682	12.102203046077188	512.8976561605359
human_virus-bacteria_collection	1.2	2.02	2.85	1.65	2.22	2.7	1.45	1.97	3.16	1.39	1.4	0.91	0.4	1.74	2.72	2.19	2.39	1.36	2.51	1.92	1.69	1.72	3.02	1.78	1.75	3.64	3.58	1.05	3.14	2.47	1.56	1.94	2.65	2.86	2.14	2.19	4.37	1.66	3.49	2.41	2.25	0.75	1.04	1.46	2.27	3.38	1.61	100.01999999999998
hsa_HR	5.18	2.47	1.5	1.58	0.89	0.88	10.91	0.23	0.23	0.17	3.82	0.22	4.73	3.07	6.57	1.49	0.67	0.71	0.35	1.05	1.67	2.88	0.95	2.19	1.51	0.2	0.81	2.74	0.47	0.84	0.55	0.26	0.26	0.35	2.04	0.11	0.25	0.54	1.08	0.69	0.53	7.71	5.13	1.87	0.73	0.38	1.44	84.9
bacteria_collection_HR	1.54	1.31	0.22	0.95	0.2	0.14	0.52	0.31	0.23	0.13	0.05	0.14	1.37	0.59	0.48	1.62	0.72	0.21	0.71	0.46	1.85	0.77	0.64	1.25	1.22	0.47	0.27	1.81	0.66	0.41	0.19	0.31	0.5	0.48	1.66	0.14	0.14	0.25	0.78	0.38	0.21	1.55	2.26	1.17	0.47	0.46	0.64	32.84
bacteria_collection_HR-hsa_HR	0.24	0.36	0.43	0.09	0.13	0.11	0.05	0.11	1.13	0.58	0.5	0.98	0.09	0.33	0.54	0.52	0.54	0.53	0.56	0.51	0.35	0.36	0.15	0.07	0.08	0.13	0.14	0.08	0.15	0.33	0.6	0.66	0.87	0.16	0.1	0.93	1.43	0.58	0.16	0.13	0.74	0.05	0.04	0.05	0.1	0.21	0.14	17.120000000000005
human_virus	0.05	0.06	0.07	0.07	0.06	0.06	0.06	0.08	0.09	0.06	0.05	0.05	0.02	0.05	0.07	0.07	0.07	0.04	0.1	0.07	0.08	0.09	0.08	0.1	0.07	0.08	0.06	0.05	0.09	0.05	0.07	0.07	0.07	0.08	0.05	0.07	0.09	0.06	0.08	0.06	0.08	0.12	0.05	0.04	0.04	0.07	0.06	3.16
human_virus-hsa	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.01	0.04	0.01	0.06	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.04	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.04	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.03	0.02	0.02	0.03	0.04	0.02	0.02	0.02	0.04	1.0600000000000005
	sumhuman_virus-hsa-bacteria_collection	0.02	0.03	0.05	0.03	0.04	0.06	0.03	0.04	0.06	0.05	0.03	0.03	0.01	0.03	0.04	0.03	0.02	0.03	0.06	0.05	0.03	0.03	0.05	0.04	0.03	0.05	0.05	0.01	0.04	0.04	0.05	0.05	0.05	0.07	0.03	0.05	0.06	0.04	0.05	0.04	0.06	0.04	0.02	0.03	0.02	0.04	0.04	1.8500000000000012
