name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
lincRNA#sense	24.59	29.62	56.13	48.24	36.65	39.28	16.99	48.05	55.47	54.2	43.27	57.65	12.96	48.23	25.98	44.73	58.71	65.91	58.46	50.03	28.01	41.53	50.96	32.25	33.45	53.24	58.31	32.74	45.19	32.87	45.4	54.56	48.81	49.88	35.47	62.84	60.59	54.92	36.51	55.26	56.16	13.9	20.91	33.18	56.44	46.49	52.26	2067.2800000000007
lncRNA#antisense	9.93	6.6	19.5	13.74	17.1	42.1	7.79	29.35	25.37	32.22	9.54	26.73	4.37	11.67	9.41	13.32	13.26	16.88	16.17	13.95	14.91	14.4	19.88	13.1	21.22	24.87	20.12	11.61	26.37	20.28	33.47	20.35	29.27	23.79	13.52	21.86	10.9	27.14	28.7	21.53	24.13	3.38	8.41	16.3	19.61	25.48	12.31	865.9099999999999
un-assigned	35.34071475266126	31.150153189626874	9.088571081557053	19.003851955863798	8.166004112221179	5.6377731349694225	12.959718341597643	11.713043304143529	7.316240060253504	5.815186133321304	4.143140746501301	6.794484551026745	41.06386334148142	17.2349561245342	11.724147394642777	25.53700515126505	12.978660452620417	6.428484300405897	11.830880267143382	19.394658929368653	34.32321810739995	20.17258277722225	12.014252035881288	27.82832556428971	24.457861566021062	8.71442358810082	7.198950541424803	32.61064189589264	14.559422684094791	24.729983522673535	9.702037569302554	13.266445533046094	10.091620436812672	12.393901512915054	27.606774764740944	5.969762392491823	8.553566959088318	7.163461538461538	16.570817448954134	9.877634205026459	7.540724705593517	20.692842324189666	36.95290199809705	28.932236584410497	9.753474988355034	14.170757002795552	14.276555411929012	763.4467149844161
mature#sense	7.44	13.93	2.79	5.0	27.17	2.37	24.89	1.47	1.42	0.78	23.91	1.83	15.43	6.14	22.64	3.41	3.23	2.05	2.2	3.7	7.05	6.98	3.93	9.49	6.37	1.97	1.74	5.51	2.23	7.78	2.27	1.33	1.68	2.01	7.46	0.9	2.15	2.21	5.1	2.54	1.84	31.18	7.23	6.24	3.61	1.59	6.15	310.34
tRNA#sense	8.5	3.84	1.23	2.31	1.52	1.75	21.53	0.41	0.25	0.14	6.68	0.33	11.54	5.28	14.27	1.68	1.46	1.18	0.28	1.11	2.27	4.84	1.54	4.02	2.36	0.25	1.51	3.49	0.44	1.61	0.96	0.32	0.31	0.63	1.67	0.13	0.12	0.71	0.86	0.88	0.58	14.67	8.96	2.14	1.51	0.4	4.64	147.10999999999996
otherRNA#sense	1.82	2.82	3.52	2.11	2.62	3.16	1.85	2.51	3.9	1.7	2.0	1.09	0.64	2.31	3.55	2.89	3.02	1.81	2.95	2.39	2.46	2.41	3.69	2.31	2.38	4.31	4.19	1.5	3.86	3.25	1.98	2.44	3.42	3.37	2.91	2.7	4.96	2.14	4.25	2.96	2.6	0.92	1.46	2.01	2.99	4.03	2.0	126.16
protein_coding#sense	2.17	2.23	1.77	1.87	2.12	1.47	0.91	2.2	1.16	1.01	0.76	0.72	2.73	1.68	1.25	1.62	1.18	0.96	1.78	2.71	1.57	1.91	1.51	1.61	1.84	1.7	1.71	1.36	1.68	4.31	1.44	2.38	1.29	2.21	1.89	1.12	1.09	1.1	2.27	1.52	1.11	1.08	0.83	2.46	1.36	2.41	1.2	78.25999999999999
Y_RNA #sense	2.97	2.31	0.39	1.51	0.87	0.23	1.93	0.41	0.15	0.21	0.69	0.31	5.8	1.73	1.88	2.02	1.26	0.79	0.24	1.83	2.71	1.69	1.35	2.1	2.76	0.33	0.57	3.56	0.77	1.24	0.23	0.31	0.36	0.81	2.34	0.13	0.12	0.88	0.77	0.49	0.38	2.13	7.73	3.8	0.59	0.87	0.84	67.39000000000003
lncRNA#sense	1.06	1.99	1.42	1.73	1.06	1.25	0.98	1.13	1.77	1.25	1.12	1.39	0.6	1.31	1.32	1.24	1.6	1.45	1.57	1.27	1.18	1.32	1.47	1.31	1.25	1.61	1.4	1.42	1.37	1.08	1.44	1.56	1.67	1.38	1.51	1.59	4.09	1.27	1.52	1.44	1.71	0.71	0.69	1.1	1.26	1.4	1.52	65.78
antisense_RNA#sense	2.24	2.17	0.94	1.22	0.92	0.81	4.31	0.64	0.86	0.69	1.64	1.2	1.78	1.68	2.83	0.98	1.24	0.98	0.92	0.9	0.84	1.85	1.15	1.56	0.91	0.9	1.19	1.16	0.84	0.81	0.88	0.91	0.83	0.9	1.3	0.8	3.09	0.7	0.88	0.91	0.99	3.08	2.05	0.95	0.94	1.0	1.8	62.16999999999999
