name	SRX3313436	SRX3313437	SRX3313434	SRX3313435	SRX3313432	SRX3313433	SRX3313430	SRX3313431	SRX3313454	SRX3313455	SRX3313456	SRX3313457	SRX3313443	SRX3313441	SRX3313438	SRX3313439	SRX3313440	SRX3313447	SRX3313446	SRX3313445	SRX3313442	SRX3313444	SRX3313425	SRX3313424	SRX3313427	SRX3313426	SRX3313421	SRX3313420	SRX3313423	SRX3313422	SRX3313450	SRX3313449	SRX3313448	SRX3313429	SRX3313428	SRX3313451	SRX3313452	SRX3313453	SRX3313418	SRX3313419	SRX3313458	SRX3313412	SRX3313413	SRX3313414	SRX3313415	SRX3313416	SRX3313417
hsa-miR-204-5p	160271.90332326284	143853.10290652	85977.91592400991	393251.5046680252	7875.069383871224	110702.0229181318	27509.90506092547	147721.06986899563	170972.03728362184	223625.6341236153	6322.880554680113	77566.83891260391	101898.1018981019	106355.34202413184	29489.297636232408	209055.77606016296	145071.64858711665	310519.93174482434	114165.30817522806	216424.37021418268	180055.18735332802	196786.3237059976	239601.41622777338	49503.70253663148	184365.3835771743	279766.6803998526	207413.74769554913	199793.7612786801	241188.6834930085	129861.11398075183	209301.72900312964	122931.44208037826	215375.37136562404	236488.19454977498	149040.4246631278	157668.78744826737	128055.26036131773	135696.82151589243	135691.3783977333	232157.9689703808	134084.65134148684	15018.719914423247	154572.22029788708	236086.70181605156	35897.4358974359	249892.65779304423	116286.27782473936	7361211.704757684
hsa-miR-143-3p	83811.68177240685	103299.293008641	86412.64182932662	76489.26591156816	28283.83950519388	73453.85347288297	66772.98514033208	182473.6171761281	119573.90146471371	196500.67294751012	39465.24244743595	176477.19613569984	62890.59777431871	94258.12610525987	96253.60880548539	108157.50992270734	214778.358109013	163832.98040747517	82428.63584336305	149239.81800022195	77184.92921061454	161742.40030335588	176616.54946499152	92988.81361273043	111051.12562759811	95929.91738404494	141466.9475902028	79659.70610982212	102759.08647472296	37814.51836179788	155789.85172643783	233021.70642596175	71569.24925726875	145356.1858536832	98349.18042349648	150966.70578788067	167109.45802337938	186960.06519967402	40617.118659899745	95688.09187991134	98866.61970929115	84005.46740357758	117682.7156217527	103272.24035484141	104555.0527903469	119364.5341348218	60608.62214708368	5315850.685318873
hsa-miR-486-5p	44864.04833836858	11905.930871956009	7488.153719080121	15591.6781195204	663777.3240292866	13908.079261986513	33079.16573222696	11121.724890829693	17177.09720372836	13666.010974220935	15206.429246769618	4605.706582790384	379759.7751086124	19640.369958841296	16889.49160952725	51806.977229997916	124983.25967590733	4317.345449312309	327321.28611563944	94706.4698701587	11991.644531552209	38393.47784870125	31943.586273182886	11469.985820072476	13118.825244290882	5052.366806166923	29167.764024229655	58434.30437397955	5603.221852565225	417943.19764294603	9722.435996100765	4781.861164839888	27239.042627766466	21462.1568330047	21524.82062649478	7752.177404410403	6738.479373973529	50040.74979625102	245539.7453062241	95990.32843038483	108599.60299673432	12223.212693884827	12036.716314513336	5983.764331743242	9170.437405731524	19106.91283812795	249309.66469428007	3402156.807240913
hsa-miR-181a-5p	68504.53172205438	45978.986645718775	61818.02373603443	31278.138476849435	10822.231913937569	154436.7682952054	193505.85166911696	25063.6826783115	48202.396804260985	33957.96666321566	155744.9011750934	58133.00381936644	24603.303673071117	151653.3905068937	178009.96932515336	30499.268853143934	36962.63559662515	32359.532081988447	32517.082307238736	28631.67240039951	39843.206024189596	19338.93699045693	23499.18105942468	162974.63368520563	90104.19478486206	50155.04044061843	26935.738741111407	61356.01959267852	35470.39547739951	17223.354008520768	65786.77338258683	44863.528906082094	50038.38835664452	34809.646594873346	50866.24278131016	25264.068194453026	20481.112935948215	81418.09290953545	30373.32253946508	34293.77392706025	41877.44124991996	225758.60224638972	110928.29927260132	95196.25073227886	156862.74509803922	39716.616573636755	34263.172724711185	3072382.1175736827
hsa-miR-10b-5p	90332.32628398792	204192.8515318146	24811.981045950528	77508.174968011	58428.653556419	10586.1912050635	29067.304577508658	53584.4250363901	48069.24101198402	50522.828450150126	2797.0375039394894	90709.9528195911	130764.58425295635	44241.693923222585	5978.493774810538	141685.81575099227	102634.92701218696	42289.42661540676	21990.218861641984	40972.145155920545	113250.1224952936	86116.72881248815	60160.25735330176	41547.18764770758	50072.88236246828	55619.4028232539	79760.33710824336	142046.91930910028	83698.12642269305	35171.92361888784	39018.00831152839	48678.2720825274	62255.900123510364	51481.36912887405	86390.9467421105	106461.17734264008	60356.48729591343	36226.56886715566	45606.688046828785	47486.39935522869	42709.86745213549	5381.8268259345095	65379.28645652928	48393.17097665077	53634.99245852187	69736.65378560183	120484.64356156664	3008294.420104644
hsa-miR-125b-2-3p	42094.662638469286	123502.55302435192	52145.37234273791	73693.18989621344	4790.7911082917035	33119.59624374302	17762.660619803475	63614.44687045124	92543.27563249001	78268.97194326535	7189.568231957138	71051.44911255897	14148.6420556188	55525.12558881986	19147.814417177913	46218.926258617095	75532.34230614705	89225.13928578772	67080.57299434637	38353.12395960493	44330.402042447844	34111.7360803893	50264.31674856073	41594.45407279029	37358.95913189008	104885.40017780862	72122.72846984462	54223.597147031025	76619.05595717538	20132.48098116919	49510.0302703812	65764.02321083171	107921.35394064826	83472.36968501945	70524.4122965642	125023.16387670641	372331.1757318133	42502.03748981255	52324.314226110786	71962.52266774129	55132.2277005827	6349.31954596779	13595.427779702113	42597.70692108126	17978.8838612368	75568.91369686561	44885.883347421805	2898095.121588047
hsa-miR-27b-3p	34554.38066465257	47611.449332285934	20977.33628946949	12203.213117861711	5945.2616322610775	47639.9288462334	54963.74373925394	89709.18243571083	57323.568575233025	44449.045794940816	25243.216574370057	23777.42829326743	13103.17589387357	51646.608971449736	56331.90296824251	37950.0034816517	28531.092361948125	29114.670065719594	13188.928583816032	23216.06924869604	48443.66505918457	35320.419642292865	38686.360471160544	57145.10792500394	45618.960211628786	43259.53552919748	33473.795101395845	15210.105697344678	42466.08466534925	12787.348603495086	46568.50170164007	64465.5777634501	39000.344938856804	40944.09896017662	32812.226564778626	43867.2349537752	42000.77287218626	44498.77750611247	27495.82256541188	18389.415004365637	31344.04815265416	59538.836393890764	33165.91617596121	31048.623315758643	50105.58069381599	32393.492676876103	15332.957640649947	1742863.817657351
hsa-miR-92a-3p	27366.565961732125	17085.624509033776	89970.14882116826	23837.732808871617	47100.08458224301	15223.596574690771	16621.951996101656	28861.899563318777	60519.30758988016	48141.629568278295	65606.5688172527	53190.294315884064	40362.73803715664	20537.61926373391	16530.49064717912	29611.44767077502	26282.30882549886	20538.229066014268	57438.174187506505	59083.34258128954	46187.17280862367	34870.12576628958	29550.51441237336	29525.760201670084	22296.604221778325	21250.298154693497	37213.58967606005	46231.846695883825	33502.59732679624	57261.04042612099	21676.67128418244	27562.86266924565	38521.88136328738	32306.992264522974	54832.87639269674	23719.809747359323	10723.601584387981	34311.32844335778	45194.13394775353	48458.59359258513	69859.76820131906	13126.522850181256	26757.880152407346	30672.022763411165	24856.711915535445	37641.3339058251	40293.04029304029	1702315.3364489966
hsa-miR-10a-5p	54783.484390735146	46322.66300078554	53732.12189714385	32865.74096014407	15838.52060370576	12704.25681545526	16724.394275414685	44577.87481804949	22037.28362183755	21844.911481519826	1916.2802215118634	36171.64682093912	33210.97507144019	10453.997715144213	3371.9776254059907	61102.9872571548	33564.34980581224	37643.14056043256	8133.606187783983	20996.559760292977	62678.9075998659	67725.77892940656	59208.91321191436	14290.215850007879	35874.318414943584	26606.240648784613	40927.04766921254	37466.70103978689	55807.08907621883	17651.045260891664	24985.89092401621	38039.97421018698	33481.323229962945	31889.88320946458	53899.550837076364	47779.35635307925	9878.272630663703	19845.15077424613	22145.59267677554	23589.562764456983	40660.818338989564	2142.9844892137635	25718.739175614828	35295.84065612185	14539.969834087482	31021.897810218976	59819.6675119752	1500967.506017892
hsa-miR-30a-5p	35083.08157099698	35680.97014925373	30909.011868017216	28008.15127245154	5109.626516533185	33458.817689157324	32547.573363899894	42371.7248908297	24234.354194407457	26296.718086758465	11414.670658682633	33587.957762300604	22535.60393095277	26948.77854113523	29377.22730963551	34363.90223522039	28810.097763492704	29728.007236693327	10882.38354548923	20275.21917656198	41467.880444593444	39207.166782531756	35219.34857445494	31700.01575547503	36117.25962317119	28254.222954658802	27548.064261258893	25350.17616224113	35620.48177702179	14148.935730608231	35477.912882869015	34896.84074790458	35083.61985512568	37110.066231862074	32083.065974450215	36907.77688553957	23331.079122790066	30847.595762021192	26465.734657657937	21478.944186983677	30159.441634116665	27231.235514351934	34984.412885348116	29207.465059837643	32337.85822021116	26048.375554601404	26148.21076359538	1376057.0657677513
