name	SRX3432753	SRX3432752	SRX3432751	SRX3432750	SRX3432748	SRX3432749	SRX3432755	SRX3432754	SRX3432746	SRX3432747	SRX3432758	SRX3432757	SRX3432760	SRX3432759	SRX3432756
hsa-miR-214-5p	0	0	0	11	0	0	0	0	0	32	0	0	0	0	0
hsa-miR-4640-5p	2	3	0	0	0	0	0	2	0	0	0	0	2	0	2
hsa-miR-1287-3p	101	67	6	0	0	0	18	67	0	0	17	3	16	0	22
hsa-miR-4645-3p	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-98-5p	7003	10480	2903	110	0	0	2588	5266	38	20	3259	296	431	536	4854
hsa-miR-6134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516a-5p	41	4	2	0	0	0	0	0	0	9	9	0	0	0	0
hsa-miR-651-5p	910	511	225	6	0	0	277	238	3	3	105	27	69	29	681
hsa-miR-6505-5p	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0
hsa-miR-6131	2	0	2	8	0	0	0	0	0	15	0	0	0	0	2
hsa-miR-6866-5p	48	11	2	0	0	5	2	15	0	11	7	0	15	4	11
hsa-miR-6130	28	6	1	0	0	0	0	3	0	0	2	0	0	1	4
hsa-miR-376a-3p	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2
hsa-miR-6750-5p	0	0	0	0	6	0	0	0	0	15	0	0	0	0	0
hsa-miR-148a-5p	21300	9087	1481	37	8	59	2249	6450	5	181	3940	1094	4351	7857	2050
hsa-miR-618	0	0	0	2	6	0	16	0	0	0	0	0	0	0	2
hsa-miR-185-5p	1021	1410	435	8868	199	2453	688	525	442	29218	350	151	70	73	801
hsa-miR-30b-3p	51	67	20	0	0	0	10	39	0	13	14	13	5	17	10
hsa-miR-1468-5p	55	22	0	6	0	4	6	15	4	45	5	4	17	23	2
hsa-miR-610	0	0	0	2	0	2	0	0	0	23	0	0	0	0	0
hsa-miR-150-3p	3	0	0	37	0	53	0	0	4	173	0	0	0	0	0
hsa-miR-342-3p	1068	2240	169	73	20	0	388	1027	13	23	920	159	176	401	828
hsa-miR-6744-5p	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6129	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7-5p	8425	1910	1188	1129	4	221	1514	3211	173	3113	1255	438	1800	950	2960
hsa-miR-548a-3p	15	20	2	3	0	0	9	7	0	0	5	0	0	0	16
hsa-miR-6820-5p	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-4797-5p	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
hsa-miR-4754	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-144-3p	0	0	0	995	0	44	0	0	23	1996	0	0	0	0	0
hsa-miR-331-5p	88	132	15	4	0	4	15	50	0	4	45	10	9	8	50
hsa-miR-4709-3p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4762-3p	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
hsa-miR-523-5p	1	0	0	2	0	0	0	0	0	6	0	0	0	0	0
hsa-miR-6791-5p	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-26b-5p	55435	74777	12054	1607	28	6	9045	26638	299	369	12373	936	3907	4725	12894
hsa-miR-889-3p	7	6	0	3	0	0	0	0	7	0	0	0	0	0	0
hsa-miR-5189-5p	0	0	0	11	0	48	0	0	2	15	0	0	0	0	0
hsa-miR-603	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3120-3p	2	0	0	3	0	0	0	0	0	2	0	0	0	0	0
hsa-miR-3622a-3p	23	44	4	0	0	0	4	13	0	0	21	2	3	0	11
hsa-miR-181c-5p	154	615	105	0	0	0	157	113	0	13	72	17	16	2	211
hsa-miR-3661	3	0	0	0	0	0	0	0	0	4	0	0	0	3	0
hsa-miR-1224-5p	0	0	0	18	0	69	0	0	0	220	0	0	0	0	0
hsa-miR-191-3p	10	3	2	0	0	0	3	5	3	45	0	0	2	0	2
hsa-miR-6785-5p	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
