name	SRX3432753	SRX3432752	SRX3432751	SRX3432750	SRX3432748	SRX3432749	SRX3432755	SRX3432754	SRX3432746	SRX3432747	SRX3432758	SRX3432757	SRX3432760	SRX3432759	SRX3432756
human_virus-hsa-bacteria_collection	0.03	0.01	0.03	0.07	0.39	0.14	0.03	0.02	0.22	0.16	0.06	0.0	0.01	0.01	0.03
hsa-bacteria_collection	1.2	0.63	1.3	5.95	6.61	9.56	1.47	1.3	11.17	9.53	2.04	0.45	1.34	0.78	1.58
human_virus-bacteria_collection	0.04	0.02	0.03	0.15	0.35	0.23	0.04	0.05	0.4	0.26	0.06	0.01	0.03	0.02	0.03
unmapped	0.8468976312624837	0.4712037333091195	0.33945112862010224	25.99449456927026	1.9789568691030344	13.497292754794856	0.7994339823274454	1.2900218937168135	17.012422850468027	8.018157803031993	0.8541100759120088	1.010836040127886	0.47406772206591863	0.5278489388014697	0.46853638001907355
hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa	92.36	95.19	93.71	54.49	80.84	60.85	91.5	93.01	54.57	68.58	89.31	94.93	90.27	93.26	92.56
bacteria_collection	1.37	0.73	0.94	11.75	5.5	12.99	1.24	1.23	14.24	10.61	1.66	0.53	1.18	1.37	1.06
human_virus-hsa	0.02	0.01	0.04	0.04	0.36	0.13	0.03	0.01	0.13	0.13	0.03	0.0	0.01	0.01	0.02
bacteria_collection_HR-hsa_HR-human_virus_HR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa_HR	4.04	2.88	3.51	0.45	2.93	1.06	4.78	2.94	0.64	1.29	5.79	3.02	6.59	3.93	4.13
bacteria_collection_HR-hsa_HR	0.03	0.01	0.03	0.16	0.2	0.35	0.02	0.05	0.54	0.47	0.06	0.01	0.04	0.02	0.04
bacteria_collection_HR	0.02	0.01	0.0	0.84	0.1	0.92	0.01	0.02	0.81	0.64	0.01	0.0	0.0	0.02	0.01
human_virus	0.06	0.04	0.08	0.1	0.73	0.28	0.09	0.06	0.27	0.31	0.14	0.02	0.05	0.05	0.07
