name	SRX3432753	SRX3432752	SRX3432751	SRX3432750	SRX3432748	SRX3432749	SRX3432755	SRX3432754	SRX3432746	SRX3432747	SRX3432758	SRX3432757	SRX3432760	SRX3432759	SRX3432756
tRNA#antisense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
IG_C_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#sense	0.08	0.05	0.08	0.17	0.35	0.35	0.11	0.08	0.43	0.34	0.1	0.04	0.1	0.07	0.08
processed_pseudogene#antisense	0.38	0.25	0.46	0.24	0.26	0.22	0.81	0.19	0.17	0.17	0.72	0.15	0.42	0.31	0.45
rnase#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IG_V_pseudogene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ribozyme#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Y_RNA #sense	2.64	8.27	6.95	18.31	2.67	11.26	7.72	8.74	16.6	29.37	8.96	8.73	5.93	16.95	6.9
retained_intron#sense	0.28	0.14	0.37	0.22	1.01	0.49	0.32	0.19	0.53	0.57	0.35	0.09	0.18	0.14	0.34
antisense_RNA#sense	0.36	0.15	0.29	2.9	3.38	5.01	0.44	0.43	4.87	3.78	0.56	0.18	0.51	0.33	0.35
Mt_tRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
hairpin#antisense	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0
sense_overlapping#sense	0.02	0.01	0.02	0.06	0.17	0.16	0.02	0.02	0.23	0.16	0.03	0.0	0.01	0.02	0.01
piRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lncRNA#antisense	0.08	0.06	0.07	0.56	1.31	1.02	0.1	0.1	1.34	0.97	0.09	0.06	0.07	0.07	0.05
transcribed_unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
processed_transcript#antisense	0.03	0.01	0.02	0.26	0.14	0.33	0.04	0.03	0.39	0.31	0.06	0.01	0.03	0.02	0.03
asRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
unprocessed_pseudogene#antisense	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.02	0.01	0.0	0.0	0.0	0.0	0.01
protein_coding#antisense	0.51	0.39	0.78	1.14	1.37	1.52	1.09	0.36	1.5	1.53	1.08	0.47	1.16	0.27	0.99
vaultRNA#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#sense	0.0	0.0	0.0	0.01	0.02	0.01	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0
TR_V_gene#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
unitary_pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
protein_coding#sense	0.66	0.45	0.58	1.54	2.13	2.93	0.74	0.68	2.13	3.17	0.8	0.34	0.78	0.6	0.64
pseudogene#sense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bidirectional_promoter_lncRNA#antisense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
rRNA#sense	4.3	2.85	5.43	34.6	6.66	22.06	7.68	4.18	22.08	11.8	9.35	1.9	3.7	2.46	5.62
rRNA#antisense	0.0	0.0	0.0	0.17	0.01	0.07	0.0	0.01	0.07	0.06	0.01	0.0	0.0	0.0	0.0
tRNA#sense	11.2	40.16	21.1	0.58	1.58	0.36	22.02	31.26	0.33	0.76	25.13	72.85	33.73	20.89	22.39
