name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
hsa-miR-486-5p	26012	19333	6144	1797	3496	9869	1030575	907904	3516	45015	16635	5433	85	1007	852	1392	1313	681	915	877	951	194	741	3074	29	747	227	191	239	5827	950	789	536	2504	2109	2759	1501	4754	3041	67239	239404	1854857	604996	28669	3093760	140878	944227	700743	1591884	188	304	271	15109	2376	3325	2374	500	680	168	31825	44725	4405	2893	1548423	28677	396	511	5357	682738	16261	29837	41790	1707881	365734	2849137	218830	503598	357395	106	288257	1035146	3390876	243095	60359	125	1050629	1925606	294598	108	93	346012	2062597	120234	83	456959	27649	917281	472	94933	749796	824	3.2912217E7
hsa-miR-451a	3811	2976	2766	213	966	947	261676	531448	2215	16243	18559	1963	9	1060	726	1447	1438	659	963	836	1810	256	754	5670	155	622	381	38	48	1405	1018	786	540	398	2189	689	2664	619	746	38170	129238	468839	388309	19486	875659	110611	205738	351642	1270280	119	280	25	4484	1705	7708	2840	1051	572	35	31328	71819	10390	1092	4424253	26515	179	519	1692	1087978	25052	52142	134091	1287916	143690	686790	614206	1055954	426196	34	670478	256883	341658	75004	38694	37	146532	1001073	148409	21	22	2980	312824	307589	33	1863896	18828	355205	101	39435	369525	230	2.0779793E7
hsa-miR-92a-3p	55454	26808	6459	5634	5242	15427	829524	771507	14914	33816	4169	45982	1720	536	1263	892	892	315	654	1184	3264	2205	512	5352	349	5150	691	2022	3819	789	572	541	255	251074	1758	128317	38797	224681	82421	11594	151995	806156	350155	22086	1047226	71260	446114	235421	288525	2913	549	4859	9962	16151	7449	71833	999	10175	573	181619	123278	48078	20496	109104	68310	4803	3366	8432	92421	102633	96582	51382	736308	281129	2024379	52399	178709	154499	1400	211058	991193	1474755	65854	30029	5407	674981	1272253	47710	2097	302	249284	1725386	96233	197	280810	21222	506907	8055	107804	998993	7879	1.92486937E7
hsa-miR-26a-5p	178117	100065	56719	20491	43639	70657	323230	1346133	133432	26469	9251	191019	13448	422	1692	696	764	234	489	12994	25739	5696	951	64659	2798	44601	4146	2497	2919	754	430	368	230	19480	1819	21399	4888	15579	10466	15844	310032	348941	416370	30504	65501	246067	217635	926048	46882	584	401	3795	8679	3327	2459	11762	109	7446	1646	56250	10295	2096	4881	15638	7643	3773	3317	9541	22877	49019	5595	9922	55272	1619249	219862	18864	20584	21285	1515	75334	387354	238800	9266	9653	3427	77617	155981	7167	3119	992	30881	364256	113003	294	51616	6027	1701818	9543	43686	2947556	5740	1.382402152E7
hsa-miR-24-3p	241073	134433	54059	39912	65672	71803	260306	724500	104014	17285	3718	280161	8803	415	628	779	723	234	502	2803	4241	1218	542	11390	2141	5777	1118	926	1067	797	505	411	234	26389	1624	38101	3951	20659	19016	13842	142282	198014	197918	21114	139191	229001	167450	498611	180408	1463	467	3426	8584	3516	6347	12973	335	5912	559	58328	56904	17587	4800	108501	46021	3502	1977	6663	116419	53520	32671	51196	93068	860875	226545	35214	61464	50953	673	125807	375270	248112	13639	17464	1186	122747	151621	28739	1396	300	132257	286678	76541	326	79628	8011	1051244	5815	49308	1620056	6760	1.0273129E7
hsa-miR-21-5p	377568	147796	75910	25027	76376	105843	179787	581161	287896	23966	9435	600840	11154	226	835	399	381	175	254	18406	28171	7562	2253	90255	6011	44637	4390	419	892	454	234	202	119	5691	1126	4798	5467	5475	4569	11095	205563	145727	228230	13828	109487	175256	192737	489472	113256	528	542	5259	8574	1567	2701	5948	518	17761	679	93899	128946	34921	7650	116232	91775	5697	5441	9954	229626	137590	91311	163259	54693	720533	121038	19390	16826	17880	699	53424	199690	95895	5475	8286	771	50142	128395	9643	819	1154	6753	150657	108477	597	83477	4920	677803	4864	33376	1620967	4160	9781993.0
hsa-miR-16-5p	83186	38880	12238	4840	12257	23819	156386	541163	43359	8240	718	92912	2287	174	202	393	305	112	212	1614	3445	470	305	9156	442	5248	370	139	154	208	208	166	112	1279	485	1834	538	1438	1115	31245	171709	390949	402106	14538	299913	182117	229839	415894	490731	65	106	636	4376	304	1263	1005	126	1460	96	17007	38940	13678	2217	599549	28087	796	480	2948	200902	26078	20878	47055	326116	462157	411829	22011	67426	61074	169	66903	199647	307121	11332	6111	184	116210	403789	6051	155	182	7573	265346	120405	44	155084	9807	784483	805	36539	908556	1255	9445869.4
hsa-miR-146a-5p	151702	65960	36551	17105	36758	28648	263934	757553	91815	16580	760	106589	6149	424	312	725	638	201	467	1105	1183	231	475	5406	301	2098	435	274	241	378	386	348	198	613	1006	997	188	907	900	10164	113954	214515	158711	25656	46640	98810	69974	587933	34354	67	530	1583	4588	186	652	446	54	2941	178	10086	24735	2469	444	10558	8820	1065	1015	4014	20713	17056	21059	11147	53441	719442	145080	31157	23772	28116	111	88509	334927	174233	12531	16779	188	72420	114367	47400	230	281	93306	323566	64094	188	55041	1369	1167949	557	33054	1482525	1074	8191349.5
hsa-miR-23a-3p	105241	75202	29922	17220	25388	46952	162872	430570	65038	20602	1972	220092	5150	387	639	642	579	225	432	913	1859	671	168	4882	510	3529	482	832	1065	501	402	365	216	26505	1288	30699	6237	19464	15975	6220	83794	184829	158103	15140	114039	87643	132676	442488	63620	1929	537	4891	8629	5392	7762	16900	328	13509	594	40628	24507	9187	3377	17620	29724	5200	3455	9199	27797	32935	13962	24575	42976	325590	157289	50108	56089	58733	509	154590	195901	164422	14899	16302	866	77693	125480	20752	919	358	43953	181085	79914	177	134866	3473	347963	5878	52161	1081954	5917	6317674.359999999
hsa-miR-146b-5p	995908	563936	204664	96028	228624	311266	36976	67153	377848	65957	530	941879	25812	21	83	81	59	23	59	817	1792	597	586	6181	691	2131	195	514	542	84	43	35	33	1158	142	1793	885	1790	1452	2924	10729	24068	19272	2541	7185	12794	11354	78925	9992	80	24	286	1291	282	832	1040	54	491	177	11102	9147	823	519	7156	2662	98	173	635	25888	11564	4643	2374	9195	211616	22828	3149	6029	2610	248	8125	34669	21074	1899	1490	416	14332	16236	2305	385	296	9175	30800	5021	90	3985	2306	245019	929	3170	173921	2039	5032834.5
