name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
hsa	90.61	92.04	85.66	76.59	85.48	83.86	66.57	80.61	85.83	88.24	74.09	85.12	65.86	75.4	73.3	64.28	73.0	77.17	69.48	78.56	84.65	81.38	76.0	82.48	77.41	84.63	83.09	80.66	59.06	66.22	70.85	69.31	73.07	84.04	80.9	83.83	66.61	79.43	85.83	92.19	84.7	87.11	89.71	87.89	94.23	93.81	91.34	93.5	96.15	53.59	34.4	43.16	39.98	56.87	59.59	58.35	59.0	39.32	38.19	65.22	71.64	58.98	56.16	89.26	67.55	40.85	40.07	39.12	81.81	69.86	73.05	63.81	70.38	84.33	76.65	64.98	69.68	63.59	72.74	67.4	65.13	73.94	64.54	57.83	72.23	70.33	74.76	61.06	80.4	35.46	82.24	65.76	71.35	54.18	79.75	34.91	85.7	73.26	63.69	85.37	48.51	7221.8099999999995
hsa_HR	1.52	1.59	1.85	2.28	1.42	2.62	32.29	16.28	3.21	1.35	17.74	3.81	1.24	11.63	13.81	11.51	13.51	9.69	24.38	3.56	4.39	5.15	1.83	4.03	2.78	3.52	2.33	9.16	3.57	26.56	19.54	17.94	17.06	7.02	9.91	9.72	4.88	7.72	7.78	3.42	14.23	10.48	9.07	7.62	3.93	3.14	4.36	4.83	1.07	4.32	0.79	0.85	0.56	6.49	9.28	7.29	7.82	0.87	0.58	7.62	4.61	4.15	7.61	1.7	5.25	0.63	0.96	0.6	3.73	9.39	6.44	5.92	6.1	14.28	10.48	9.54	8.8	7.73	0.69	12.97	33.63	21.39	9.31	13.27	9.56	21.74	16.02	10.7	13.14	3.52	14.15	27.98	17.61	1.47	6.08	0.63	13.43	10.2	10.9	13.24	1.48	839.8300000000002
bacteria_collection	3.49	2.47	3.48	7.82	3.58	4.35	0.45	1.2	1.9	2.93	4.16	3.64	12.15	7.34	9.06	4.65	9.55	7.88	3.74	7.95	5.28	6.25	4.45	6.4	5.59	4.96	6.38	3.53	14.99	2.75	6.27	9.0	2.61	2.63	4.58	2.05	12.58	3.89	1.88	1.34	0.37	0.77	0.41	1.95	0.67	1.08	1.29	0.58	1.08	16.58	28.64	20.01	17.75	16.73	14.64	13.47	15.97	26.27	21.89	12.28	9.55	16.41	14.06	2.4	13.51	21.6	25.11	20.12	6.39	10.16	8.47	16.4	10.27	0.63	5.12	11.43	9.67	12.67	7.03	7.88	0.49	1.89	10.54	11.96	5.12	3.42	4.07	11.49	1.37	15.87	1.39	1.93	4.47	11.65	4.94	31.44	0.38	6.2	10.55	0.54	19.91	810.1299999999999
unmapped	1.6298090770106255	1.439569345032806	2.750471716556914	5.166273570343661	3.3121232453599014	3.974200033107417	0.34854249982662566	0.6775037721961399	0.5533391550628189	4.342471291897569	1.2101369326781788	1.4286603335528014	9.46737279238504	1.0535416968097626	1.0515425703335606	1.3163577649586826	0.9478233825021847	1.1532808990364056	1.4143488465094443	0.8006060339353858	0.6468655813485794	0.3491036882889891	1.0047246905593543	0.7301834299366742	0.7734617141144849	0.7571622661661457	0.6727785447122816	3.054704727084697	12.085762829371266	2.1955305684615416	1.7310971123538543	1.3382127400388737	1.157820188494162	1.837593259130061	1.2085116748553917	1.905256366395056	7.061069454139028	4.585226185021558	1.3913899983707412	0.5256993116921669	0.1644144989685773	0.5208828130035914	0.2825380826363176	0.9588372581097858	0.5254664330541302	0.5836172040389904	1.0748411763431445	0.4274818262786163	0.5790147068612733	10.740268610243872	26.9350000474008	20.85260069618797	24.558367330473814	10.208159578628258	8.147018383075093	11.467146912520956	8.44242759753508	19.16179703113482	25.482108218671456	7.925199995019697	6.94024355519921	10.11052452821034	9.667135252618445	0.8858815729727456	7.0949932780376335	25.912334260859673	21.559610033006642	24.64614866953541	3.1503989727968533	4.849661100103953	5.279670207603921	6.240851480939347	7.518642746292924	0.17066870959442562	3.1425300454435012	5.460871339915845	5.7768544305879495	8.784695302896235	10.546824166958	5.915407538072275	0.373194257453834	1.3434219739984357	8.277875989730415	7.677817678227674	5.316847214864833	2.795077193182166	2.423297110189914	6.886935295826351	1.8817150452422995	1.4196478910641914	1.2890381226050023	2.3944570922093966	2.5553532471735205	12.808112161696807	4.509246180110859	19.73166688917421	0.14571524783539466	5.197780073555409	6.9922143850189284	0.20643577881310318	18.46192667463402	554.4290403840691
hsa-bacteria_collection	1.92	2.08	5.73	6.99	5.55	4.61	0.21	0.71	8.15	2.24	2.47	5.5	8.81	4.17	2.44	17.68	2.74	3.72	0.9	8.17	4.63	6.18	14.47	5.75	11.85	5.62	6.92	2.64	7.15	1.9	1.43	2.27	5.93	3.64	3.09	2.07	7.04	3.7	2.57	2.0	0.41	0.84	0.42	1.18	0.46	1.04	1.5	0.52	0.82	11.31	5.85	11.59	14.76	7.34	6.55	7.22	6.42	9.61	10.33	5.4	5.93	8.6	9.74	5.42	5.14	7.63	8.02	12.69	4.32	4.73	5.64	6.62	4.3	0.46	3.44	6.66	4.76	5.62	7.51	4.68	0.21	0.94	5.57	7.27	6.4	0.96	1.88	7.87	2.49	2.35	0.66	1.53	2.81	15.72	3.91	8.43	0.25	3.88	5.98	0.49	7.47	508.19000000000005
bacteria_collection_HR	0.65	0.21	0.14	0.47	0.15	0.16	0.04	0.35	0.04	0.14	0.03	0.22	1.35	0.01	0.04	0.02	0.02	0.03	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.23	1.79	0.06	0.05	0.01	0.0	0.14	0.06	0.09	0.64	0.11	0.05	0.04	0.0	0.04	0.01	0.12	0.08	0.06	0.05	0.03	0.07	1.09	2.66	1.84	0.52	1.0	0.71	1.06	1.0	3.33	2.13	0.79	0.69	0.63	0.77	0.08	0.84	2.41	3.18	1.21	0.22	0.44	0.46	0.24	0.79	0.01	0.55	0.77	0.51	0.81	0.35	0.52	0.07	0.23	0.79	0.75	0.25	0.52	0.44	0.66	0.06	40.33	0.11	0.1	0.29	1.8	0.35	3.61	0.0	0.59	0.99	0.01	2.81	94.18999999999998
human_virus	0.11	0.1	0.17	0.3	0.23	0.18	0.05	0.07	0.19	0.3	0.19	0.16	0.42	0.18	0.15	0.25	0.11	0.18	0.04	0.29	0.13	0.2	0.62	0.27	0.55	0.17	0.25	0.25	0.53	0.18	0.06	0.06	0.07	0.36	0.13	0.15	0.26	0.21	0.23	0.18	0.03	0.06	0.03	0.1	0.05	0.11	0.1	0.04	0.14	0.55	0.2	0.36	0.31	0.29	0.32	0.28	0.35	0.4	0.35	0.19	0.21	0.29	0.38	0.08	0.2	0.26	0.31	0.3	0.15	0.18	0.25	0.24	0.2	0.06	0.2	0.42	0.3	0.25	0.28	0.19	0.05	0.14	0.4	0.4	0.21	0.13	0.17	0.48	0.12	0.37	0.07	0.1	0.19	0.82	0.13	0.38	0.07	0.16	0.23	0.06	0.45	22.670000000000005
bacteria_collection_HR-hsa_HR	0.02	0.02	0.09	0.16	0.11	0.09	0.0	0.01	0.04	0.07	0.03	0.04	0.3	0.04	0.03	0.08	0.04	0.04	0.01	0.24	0.04	0.14	0.57	0.07	0.3	0.06	0.07	0.07	0.25	0.04	0.02	0.02	0.03	0.03	0.03	0.02	0.3	0.1	0.02	0.02	0.0	0.01	0.0	0.03	0.01	0.02	0.04	0.01	0.02	0.56	0.21	0.55	0.73	0.32	0.29	0.31	0.49	0.39	0.43	0.18	0.15	0.28	0.36	0.05	0.14	0.28	0.3	0.58	0.07	0.12	0.13	0.17	0.13	0.0	0.14	0.22	0.15	0.19	0.21	0.12	0.0	0.02	0.17	0.22	0.24	0.03	0.06	0.22	0.02	0.04	0.02	0.05	0.13	0.3	0.1	0.3	0.0	0.06	0.22	0.0	0.3	14.550000000000004
human_virus-bacteria_collection	0.02	0.02	0.05	0.09	0.06	0.08	0.01	0.02	0.04	0.3	0.03	0.03	0.15	0.06	0.04	0.06	0.04	0.05	0.01	0.12	0.09	0.09	0.32	0.11	0.18	0.1	0.1	0.07	0.2	0.04	0.02	0.02	0.01	0.14	0.03	0.05	0.18	0.09	0.08	0.06	0.02	0.04	0.01	0.03	0.01	0.05	0.06	0.01	0.02	0.3	0.12	0.33	0.46	0.19	0.17	0.2	0.15	0.24	0.23	0.13	0.11	0.2	0.28	0.04	0.11	0.16	0.17	0.37	0.06	0.1	0.11	0.15	0.1	0.01	0.08	0.17	0.12	0.13	0.24	0.09	0.01	0.03	0.11	0.15	0.15	0.02	0.05	0.17	0.07	0.27	0.02	0.05	0.18	0.27	0.08	0.22	0.01	0.08	0.13	0.01	0.21	11.120000000000003
human_virus-hsa	0.02	0.01	0.03	0.06	0.04	0.03	0.02	0.04	0.02	0.04	0.02	0.02	0.09	0.05	0.02	0.06	0.02	0.03	0.01	0.12	0.06	0.1	0.24	0.06	0.25	0.08	0.09	0.09	0.17	0.02	0.01	0.01	0.02	0.08	0.02	0.07	0.25	0.07	0.1	0.13	0.02	0.07	0.02	0.05	0.02	0.05	0.1	0.02	0.02	0.51	0.08	0.19	0.14	0.29	0.14	0.17	0.22	0.19	0.17	0.12	0.07	0.15	0.48	0.03	0.07	0.12	0.14	0.14	0.04	0.07	0.07	0.08	0.1	0.03	0.1	0.16	0.11	0.1	0.16	0.12	0.02	0.04	0.14	0.27	0.18	0.03	0.07	0.26	0.15	0.15	0.03	0.05	0.27	0.48	0.08	0.18	0.01	0.14	0.15	0.04	0.2	10.54
