name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
mature#sense	68.77	72.26	44.78	34.43	49.84	46.56	66.47	81.37	28.02	80.84	2.08	35.1	36.86	0.31	1.74	0.36	0.21	0.38	0.19	9.9	16.13	17.83	1.55	13.27	5.61	21.93	10.19	0.99	4.42	0.95	0.23	0.2	0.19	23.18	0.33	20.03	13.06	26.85	18.25	74.61	76.13	75.87	85.51	75.62	85.9	81.8	83.46	83.22	89.55	14.48	0.85	2.69	1.91	16.91	8.74	15.64	6.87	4.83	0.97	31.56	27.62	24.39	18.33	73.61	28.41	3.73	4.6	2.23	48.23	29.2	22.56	32.33	50.26	75.82	71.7	36.06	33.46	31.72	1.08	37.07	65.63	74.94	27.55	21.23	2.21	52.51	71.37	25.77	1.86	0.92	27.0	60.07	55.29	3.19	66.87	7.32	75.4	3.97	20.13	86.35	18.57	3193.340000000001
tRNA#sense	9.08	10.22	27.09	23.09	18.41	20.43	1.53	1.86	39.66	2.59	45.0	38.79	11.37	58.84	45.21	53.63	48.61	38.1	72.32	37.25	38.6	33.06	12.78	34.48	30.88	45.73	38.56	73.59	38.13	43.33	61.78	65.52	59.0	25.0	26.04	39.83	39.77	25.56	36.04	5.58	1.18	2.86	1.19	2.29	1.63	2.26	2.42	1.71	1.3	19.86	4.53	4.02	3.68	31.5	32.94	24.28	38.69	4.9	3.55	22.14	21.53	13.03	17.79	14.25	19.27	4.72	5.86	4.37	22.49	26.13	23.99	13.56	10.21	1.67	1.23	12.54	17.81	15.41	57.22	17.95	1.18	1.34	16.58	16.85	58.61	1.02	1.34	15.54	73.32	46.67	1.07	1.09	4.6	30.78	7.14	2.59	0.99	62.01	19.74	1.46	11.37	2279.59
un-assigned	9.651322231076632	6.770064080964376	7.482123001314095	13.703452933031691	9.773599844634667	9.052811761675397	1.5865863244344458	2.3913436463130173	10.505704648325748	5.696801846664713	21.49285043699302	10.654740338880794	16.33620402784618	16.640381232106932	21.885278619736727	18.350802222391756	19.888101765974408	23.889320894090922	16.87180056916753	17.863586091478826	18.126844612437218	17.068130636178616	27.925521630416615	20.273887561152375	24.13136780371143	12.546558971732987	22.661548865324765	13.968045730245974	25.709108796130135	27.069150810142762	17.644490312982057	14.757389018016019	19.056872704483034	26.543560975631472	30.811699994160865	21.26574458666487	21.60904986094303	22.83290463421325	24.048045195750444	4.8820133144432765	0.9767254873907298	2.4556160395901503	0.9841413752437511	3.302166445035461	1.8065073752936665	2.1367506521399284	2.480371575230927	1.6641262480144938	1.657054360613827	28.19966980170086	62.952448638881336	42.04549218607609	17.741124120290674	23.993194665495857	27.879924380689836	31.93776308595538	24.37561023391905	43.5889462167144	42.04278409144318	21.749508319115158	18.467930215272933	23.6325954834386	28.903681340268783	3.8734239546368556	26.434416939441626	40.74900325502251	43.06102854136525	26.64173523243717	9.868701023658346	17.621199346386735	18.356372347487778	20.528508131609033	17.766613074882464	0.8164000806692678	7.893545400340366	18.657572154454158	17.496508024668515	21.507612201002242	17.804491940227088	16.41144834143227	1.787499677063548	4.399973556645972	23.708881380741705	22.36995192788516	16.970476958278134	7.431650853597497	7.729059545426345	21.87862155463894	14.770450852212434	34.28793073783877	2.7405751211427654	5.949713740767273	6.765059325306814	22.468590670118648	9.440515605458856	50.281648884314194	0.7361349357032244	17.65461431595124	23.616073474149935	0.7665298870003541	34.836000236855654	1784.4714781004973
rRNA#sense	5.44	4.58	12.56	16.61	11.63	15.91	0.35	0.63	11.26	5.3	13.53	7.68	19.83	7.97	11.81	8.3	10.39	10.73	4.9	6.05	3.88	8.14	7.44	5.9	8.64	3.31	5.22	1.07	12.07	16.41	10.54	7.0	14.27	5.67	15.76	3.32	5.66	7.12	4.98	1.79	0.44	1.33	0.44	1.27	1.65	0.9	1.71	0.84	1.23	6.85	9.67	18.36	49.31	7.02	6.14	6.42	9.73	18.86	27.22	5.02	10.72	9.72	6.81	1.43	6.5	27.08	22.58	40.92	7.1	5.87	8.97	7.34	4.01	0.75	4.43	6.9	10.08	10.33	5.8	5.15	0.43	1.25	7.02	8.58	7.58	2.76	2.34	8.06	1.06	1.74	0.91	1.21	3.79	9.87	3.25	18.41	1.33	3.66	8.07	0.39	13.82	816.08
Y_RNA #sense	1.37	1.42	0.89	1.02	1.16	0.99	24.99	9.85	1.34	0.5	1.58	0.9	0.91	0.23	0.57	0.48	0.13	0.47	0.16	1.65	3.18	2.55	0.17	1.73	0.64	3.07	1.58	0.12	0.95	0.94	0.55	0.78	0.48	2.4	0.45	4.81	0.99	2.88	2.23	5.95	18.18	13.19	8.52	11.7	5.99	9.34	5.43	8.13	3.8	0.71	2.48	4.24	0.39	1.05	1.64	1.94	0.78	3.89	0.63	3.05	5.43	4.7	2.56	0.99	5.43	2.65	3.55	1.04	1.58	6.12	7.72	5.46	5.76	17.71	5.44	7.27	4.56	6.39	0.44	8.94	26.04	12.29	8.63	9.82	0.3	29.33	9.21	6.83	0.17	0.03	64.25	23.51	20.67	1.98	5.69	0.32	18.25	1.18	9.49	8.38	1.01	553.26
lincRNA#antisense	0.58	0.5	1.07	1.61	1.25	0.92	0.09	0.22	1.11	0.58	7.06	1.18	1.95	4.55	8.27	4.09	13.52	15.23	1.7	9.06	8.07	9.83	8.15	8.37	7.5	4.49	6.22	0.43	2.45	2.44	3.9	5.78	1.36	4.65	16.32	2.29	2.23	3.36	3.69	1.03	0.11	0.32	0.11	0.24	0.15	0.24	0.45	0.28	0.15	3.44	2.31	4.18	6.95	2.86	4.43	2.65	3.15	3.3	4.16	2.02	2.09	3.12	2.42	0.62	1.39	4.37	3.1	5.8	1.14	2.2	2.56	2.86	1.82	0.1	0.9	1.9	1.89	1.83	1.94	1.59	0.12	0.35	1.67	1.96	1.38	0.51	0.63	2.08	0.39	0.78	0.19	0.48	0.67	2.66	0.77	2.58	0.07	0.8	3.57	0.09	2.58	286.57
protein_coding#sense	1.22	0.96	1.14	1.81	1.82	1.03	0.2	0.44	1.9	0.53	1.78	1.33	1.77	2.17	2.17	4.48	1.46	2.35	0.75	2.62	1.42	1.56	7.81	2.21	3.83	1.13	2.11	1.6	2.48	1.69	1.01	1.37	1.18	3.85	2.17	2.26	2.78	2.45	3.36	1.17	0.23	0.27	0.17	0.29	0.19	0.31	0.37	0.24	0.17	4.56	2.47	2.92	1.83	2.53	3.74	2.81	3.01	2.57	2.55	1.89	1.78	2.85	4.23	0.76	1.84	1.97	2.4	1.9	1.19	1.65	2.23	2.19	1.37	0.38	0.93	2.2	1.62	1.55	2.43	1.76	0.22	0.49	2.32	2.96	1.9	0.52	0.82	3.17	1.28	2.13	0.31	0.69	0.62	5.53	0.85	2.53	0.19	2.2	2.06	0.3	2.41	183.22000000000003
antisense_RNA#sense	0.63	0.47	0.98	1.78	1.43	1.08	0.11	0.2	1.51	0.62	1.99	0.66	2.66	1.98	2.31	2.31	1.21	2.01	0.43	1.9	1.13	1.03	3.91	1.61	2.89	0.83	1.56	1.34	3.12	1.41	1.02	1.29	0.68	1.38	1.81	0.79	2.38	1.45	0.95	0.74	0.12	0.24	0.09	0.31	0.16	0.26	0.41	0.15	0.23	3.71	2.16	3.68	5.36	2.37	2.47	2.27	2.25	3.33	3.89	1.66	1.63	2.73	3.11	1.0	1.42	3.08	2.83	4.48	1.03	1.41	1.78	1.92	1.11	0.1	1.2	2.13	1.64	1.72	2.74	1.42	0.13	0.48	1.94	2.71	2.43	0.51	0.75	3.0	1.19	2.08	0.28	0.61	0.82	6.41	0.77	2.81	0.09	1.82	1.99	0.09	3.02	165.12000000000003
lincRNA#sense	0.34	0.26	0.58	1.09	0.79	0.59	0.08	0.16	0.57	0.4	0.85	0.41	1.83	1.37	0.91	1.13	0.77	1.21	0.24	1.34	0.7	0.81	2.87	1.03	2.39	0.66	1.04	0.71	1.89	0.76	0.41	0.52	0.37	0.88	0.92	0.51	1.75	0.97	0.68	0.46	0.07	0.19	0.08	0.31	0.17	0.2	0.34	0.12	0.25	3.51	1.66	3.52	3.48	2.07	1.84	1.95	1.85	2.82	3.02	1.46	1.26	2.33	2.73	0.58	1.11	2.12	2.13	3.08	0.75	1.17	1.36	1.71	0.97	0.13	0.96	1.65	1.31	1.39	2.11	1.04	0.08	0.29	1.47	1.86	1.66	0.31	0.57	1.98	0.7	1.55	0.18	0.54	0.73	3.93	0.74	2.29	0.21	1.12	1.54	0.09	2.22	118.11000000000004
protein_coding#antisense	0.28	0.2	0.28	0.57	0.46	0.32	0.05	0.09	0.49	0.2	0.67	0.39	0.65	0.73	0.84	0.78	0.84	1.01	0.49	1.28	0.78	1.07	4.16	1.12	1.95	0.61	1.44	1.33	1.26	0.66	0.52	0.54	0.37	1.69	0.92	0.96	1.22	1.38	1.44	0.34	0.06	0.11	0.06	0.16	0.09	0.13	0.16	0.09	0.1	2.55	1.9	1.98	1.12	1.52	1.77	1.63	1.8	1.69	1.63	1.38	0.99	1.47	2.21	0.27	0.9	1.37	1.49	1.25	0.52	0.99	1.1	1.28	0.83	0.04	0.48	1.3	0.92	0.99	1.22	0.99	0.06	0.22	1.39	1.82	1.29	0.27	0.37	1.9	0.98	1.39	0.13	0.38	0.36	3.03	0.51	1.62	0.04	1.12	1.23	0.05	1.53	94.61000000000003
