name	SRX3848837	SRX3848836	SRX3848835	SRX3848834	SRX3848833	SRX3848832	SRX3848831	SRX3848830	SRX3848839	SRX3848838	SRX3848843	SRX3848840	SRX3848841	SRX3848846	SRX3848847	SRX3848844	SRX3848845	SRX3848848	SRX3848849	SRX3848792	SRX3848793	SRX3848790	SRX3848791	SRX3848796	SRX3848797	SRX3848794	SRX3848795	SRX3848798	SRX3848799	SRX3848851	SRX3848850	SRX3848853	SRX3848852	SRX3848855	SRX3848854	SRX3848857	SRX3848856	SRX3848859	SRX3848858	SRX3848781	SRX3848780	SRX3848783	SRX3848782	SRX3848785	SRX3848784	SRX3848787	SRX3848786	SRX3848789	SRX3848788	SRX3848864	SRX3848865	SRX3848866	SRX3848867	SRX3848860	SRX3848861	SRX3848862	SRX3848863	SRX3848868	SRX3848869	SRX3848883	SRX3848880	SRX3848881	SRX3848879	SRX3848878	SRX3848873	SRX3848872	SRX3848871	SRX3848870	SRX3848877	SRX3848876	SRX3848875	SRX3848874	SRX3848808	SRX3848809	SRX3848806	SRX3848807	SRX3848804	SRX3848805	SRX3848803	SRX3848800	SRX3848801	SRX3848819	SRX3848818	SRX3848815	SRX3848814	SRX3848817	SRX3848816	SRX3848811	SRX3848810	SRX3848813	SRX3848812	SRX3848820	SRX3848821	SRX3848822	SRX3848823	SRX3848824	SRX3848825	SRX3848826	SRX3848827	SRX3848828	SRX3848829
hsa-miR-3936	0.0	0.0	0.0	0.0	0.0	0.9153070923943015	0.27550486266082597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2175611439277923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18178124717386968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-3935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4441391986156393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4733-5p	0.33459385993499513	1.02715489393085	0.0	0.0	0.0	1.830614184788603	0.0	0.1325617620162432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3263417158916885	0.45861314467823017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8254605037785454	0.0	0.0	0.20259703055558287	1.31335544586119	0.0	0.0	0.0	0.0	0.0	0.0	1.336526145792727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19822352080653186	0.0	0.0	0.0	0.0	0.23337699427934644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6812-5p	0.0	0.0	0.0	0.0	0.0	0.0	0.5510097253216519	0.0	0.0	0.0	0.0	0.3756336940418486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5441976387673906	6.0224728574676405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4996187908625718	0.35000898648072787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3038955458333743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23337699427934644	0.0	0.0	0.0	0.0	0.18930228195382293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-4687-5p	0.5018907899024927	0.0	0.0	0.0	0.0	1.3729606385914523	2.8928010579386725	1.3918985011705536	0.0	0.0	0.0	0.9390842351046216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2804310443067555	0.0	0.0	0.0	0.0	0.0	0.0	0.503160983085992	0.2175611439277923	0.45861314467823017	0.0	0.5918687882137617	0.0	0.8750224662018197	0.883318025164285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8910174305284847	2.790957756555919	1.9087026303907297	1.1815781066301527	0.0	0.0	0.0	0.0	0.5773515383820417	1.3242577535291469	1.9822352080653185	0.0	11.774702835937179	0.0	0.0	1.7503274570950982	0.0	0.0	0.0	0.0	2.5555808063766094	0.0	0.0	0.0	0.0	1.1880953707916042	0.0	0.0	1.7699170325362805	0.0
hsa-miR-6766-5p	0.0	0.0	0.0	0.0	0.0	0.9153070923943015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2175611439277923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-506-3p	0.0	0.0	0.0	0.0	0.0	10.983685108731619	0.0	0.1325617620162432	0.7199569177780402	5.488195181018009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.425415266172944	30.696692124456668	0.0	51.197601629878285	0.0	75.65045745129709	0.0	16.004225115430476	0.0	0.0	0.0	0.0	0.0	5.121724177227022	0.0	14.66987756829021	0.0	1.2451842499134598	0.0	0.0	0.503160983085992	0.3263417158916885	0.0	0.0	0.49322399017813473	0.0	0.0	0.0	0.26044674690944125	0.0	0.0	23.765388088787493	0.0	0.0	0.0	2.4441391986156393	0.0	0.0	0.0	12.88834646452966	79.65693861462962	17.915951385880277	76.91834348655468	12.155821833334972	58.444317340822955	0.0	0.0	0.0	141.97524796114035	32.89749411224985	30.432993873951048	11.137717881606058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4344828155529207	0.0	0.0	0.0	0.0	0.0	4.906157472936409
hsa-miR-526b-3p	0.0	0.0	0.0	1.3005237209024074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6687594378675669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19728959607125388	0.7494281862938578	0.0	0.1606032773025973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0724010093438299	0.0	0.0
hsa-miR-4423-3p	2.8440478094474586	1.02715489393085	9.744507143129757	35.114140464365	17.983872961921396	0.0	0.0	0.0	3.9597630477792207	0.8665571338449487	0.0	37.56336940418486	10.833688437565455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.777957860615885	6.8021828562795426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9013012085547906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
hsa-miR-6864-3p	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22904431564688757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
