name	SRX1099349	SRX1099348	SRX1099345	SRX1099344	SRX1099347	SRX1099346	SRX1099341	SRX1099340	SRX1099343	SRX1099342	SRX1099464	SRX1099465	SRX1099466	SRX1099467	SRX1099460	SRX1099461	SRX1099462	SRX1099463	SRX1099468	SRX1099469	SRX1099400	SRX1099370	SRX1099371	SRX1099372	SRX1099373	SRX1099374	SRX1099375	SRX1099376	SRX1099377	SRX1099378	SRX1099379	SRX1099471	SRX1099470	SRX1099477	SRX1099476	SRX1099475	SRX1099474	SRX1099367	SRX1099366	SRX1099365	SRX1099364	SRX1099363	SRX1099362	SRX1099361	SRX1099360	SRX1099406	SRX1099407	SRX1099404	SRX1099405	SRX1099402	SRX1099403	SRX1099369	SRX1099368	SRX1099486	SRX1099487	SRX1099484	SRX1099485	SRX1099482	SRX1099483	SRX1099480	SRX1099481	SRX1099488	SRX1099489	SRX1099419	SRX1099418	SRX1099415	SRX1099414	SRX1099417	SRX1099416	SRX1099411	SRX1099410	SRX1099413	SRX1099412	SRX1099312	SRX1099313	SRX1099310	SRX1099311	SRX1099316	SRX1099317	SRX1099314	SRX1099315	SRX1099318	SRX1099319	SRX1099495	SRX1099494	SRX1099398	SRX1099399	SRX1099491	SRX1099490	SRX1099493	SRX1099492	SRX1099392	SRX1099393	SRX1099390	SRX1099391	SRX1099396	SRX1099397	SRX1099394	SRX1099395	SRX1099479	SRX1099420	SRX1099421	SRX1099422	SRX1099423	SRX1099424	SRX1099425	SRX1099426	SRX1099427	SRX1099428	SRX1099429	SRX1099307	SRX1099306	SRX1099309	SRX1099308	SRX1099389	SRX1099388	SRX1099408	SRX1099381	SRX1099380	SRX1099383	SRX1099382	SRX1099385	SRX1099384	SRX1099387	SRX1099386	SRX1099437	SRX1099436	SRX1099435	SRX1099434	SRX1099433	SRX1099432	SRX1099431	SRX1099430	SRX1099497	SRX1099439	SRX1099438	SRX1099334	SRX1099335	SRX1099336	SRX1099337	SRX1099330	SRX1099331	SRX1099332	SRX1099333	SRX1099401	SRX1099338	SRX1099339	SRX1099478	SRX1099409	SRX1099329	SRX1099328	SRX1099323	SRX1099322	SRX1099321	SRX1099320	SRX1099327	SRX1099326	SRX1099325	SRX1099324	SRX1099442	SRX1099443	SRX1099440	SRX1099441	SRX1099446	SRX1099447	SRX1099444	SRX1099445	SRX1099448	SRX1099449	SRX1099473	SRX1099472	SRX1099496	SRX1099358	SRX1099359	SRX1099356	SRX1099357	SRX1099354	SRX1099355	SRX1099352	SRX1099353	SRX1099350	SRX1099351	SRX1099451	SRX1099450	SRX1099453	SRX1099452	SRX1099455	SRX1099454	SRX1099457	SRX1099456	SRX1099459	SRX1099458	sum
hsa	72.03	73.89	81.06	78.83	76.96	74.99	80.07	76.15	78.34	75.79	78.97	78.14	77.3	74.63	77.76	82.38	77.06	78.95	78.11	75.51	78.62	77.16	70.61	79.17	78.15	77.78	79.24	79.12	81.64	74.98	75.02	78.68	75.21	72.81	73.86	73.95	74.15	78.32	75.99	73.89	74.01	76.16	74.07	81.41	78.51	80.36	78.22	75.37	81.79	77.67	75.27	79.51	80.08	79.51	76.91	72.88	78.03	76.23	75.3	82.39	81.68	78.89	80.52	77.21	79.02	76.57	77.37	79.92	78.11	77.99	75.72	73.56	75.68	77.21	80.28	75.44	76.66	84.16	79.81	74.29	74.33	75.0	78.65	75.62	79.81	80.29	77.25	76.76	80.27	78.74	75.91	81.39	79.76	78.63	76.0	72.59	78.08	78.58	76.42	79.65	75.37	78.8	74.33	77.83	77.96	80.13	75.61	76.03	75.92	73.16	72.93	76.11	79.13	75.91	74.49	72.43	80.18	79.33	78.85	78.51	78.81	80.81	78.64	77.06	74.43	77.13	75.68	76.39	78.68	79.32	76.94	78.45	75.63	79.81	77.65	75.67	75.45	74.13	81.71	79.14	75.12	73.36	74.45	79.08	79.47	76.33	73.87	76.18	80.17	78.06	79.36	75.56	75.74	81.88	78.51	76.6	76.16	74.31	74.96	80.36	80.01	76.54	81.94	80.62	78.95	75.57	72.65	77.16	78.68	79.05	79.32	71.86	78.85	81.93	74.6	79.15	75.66	74.6	78.78	78.93	75.13	79.01	74.38	74.55	72.87	76.65	78.47	79.2	80.04	80.12	73.15	74.95	14840.210000000003
hsa_HR	17.07	15.15	11.4	15.24	12.84	16.23	10.35	18.04	11.05	16.39	14.55	10.39	15.65	16.23	15.3	8.17	12.29	14.38	12.26	11.27	13.48	11.2	9.72	12.5	12.22	14.92	13.58	14.56	10.4	14.82	11.38	14.78	12.58	14.64	14.04	13.04	14.89	13.48	16.97	17.49	15.01	14.08	15.01	13.28	13.45	13.75	11.46	13.46	11.05	10.65	8.06	14.13	14.89	12.12	17.28	16.01	14.45	15.41	12.62	11.78	12.94	15.09	10.84	10.74	15.58	14.62	16.41	15.7	14.19	13.39	11.58	13.26	14.14	16.21	15.43	17.52	12.53	12.12	13.75	18.33	13.29	18.02	13.77	12.76	14.75	11.52	15.32	16.35	11.23	14.27	15.61	7.88	13.36	13.92	17.16	14.62	14.62	15.39	11.4	12.55	12.13	12.37	14.77	15.0	13.91	14.99	15.54	11.26	7.66	9.23	16.53	13.68	11.46	13.34	15.47	15.92	13.21	10.84	12.4	15.37	15.52	14.37	12.12	13.93	15.32	8.8	13.75	13.57	16.23	12.57	14.81	12.61	17.15	12.28	15.65	10.16	17.64	13.33	10.12	15.39	16.62	17.3	14.52	11.3	14.32	8.86	12.58	17.24	15.31	14.55	15.72	13.9	15.75	14.77	14.8	16.84	16.25	15.04	13.53	16.14	12.49	14.29	9.62	10.55	12.4	4.87	13.86	16.0	14.44	15.27	13.6	10.67	14.96	11.87	17.53	13.23	12.16	11.84	13.23	12.24	16.49	14.66	14.48	15.91	16.22	13.41	14.04	14.49	13.82	12.73	16.21	14.13	2642.4999999999986
hsa-bacteria_collection	3.54	4.1	2.77	1.74	3.83	2.99	4.39	2.11	3.95	2.65	2.44	4.71	2.37	3.41	3.08	4.59	4.28	2.23	3.82	5.34	2.79	4.5	5.98	3.78	3.33	2.14	2.51	2.28	3.2	3.78	4.44	2.8	3.8	4.24	4.97	3.61	4.12	3.06	2.47	2.86	4.2	3.35	4.39	2.32	2.89	1.96	3.86	4.65	3.11	4.52	4.75	2.29	1.58	3.89	1.94	3.45	3.31	2.92	4.64	2.14	2.45	1.82	3.5	4.67	1.85	3.19	2.05	1.8	2.95	3.07	5.22	4.94	4.02	2.43	1.75	2.39	4.23	1.46	2.79	2.39	3.32	2.44	2.62	4.5	1.94	2.86	2.65	2.52	3.23	2.65	3.84	4.6	2.43	2.47	2.33	3.33	3.18	2.26	4.74	3.0	3.96	4.12	4.17	2.22	2.82	1.5	3.1	5.26	5.77	7.1	2.68	3.73	4.38	4.29	3.44	4.08	2.27	4.65	3.2	2.1	1.92	2.01	3.74	3.17	3.38	5.68	4.03	3.89	2.02	3.0	3.05	3.49	3.18	2.98	2.37	5.81	2.3	4.54	3.22	2.09	2.74	2.09	4.24	4.37	2.33	6.36	3.93	2.42	1.86	2.55	1.43	3.68	2.75	0.75	2.45	2.18	2.65	3.95	3.43	1.48	2.99	3.08	3.57	4.23	2.94	8.65	4.23	2.43	2.62	2.18	2.49	5.59	2.02	2.13	2.72	3.44	4.85	4.43	2.84	3.32	2.8	1.63	2.97	3.62	3.54	3.85	2.8	2.27	2.6	2.88	3.23	4.28	630.6100000000002
bacteria_collection	3.73	3.63	2.59	2.0	3.6	3.04	3.06	2.05	3.55	2.73	2.32	3.98	2.54	3.33	2.55	3.05	3.59	2.39	3.31	4.5	2.86	4.16	6.41	2.83	3.37	2.49	2.61	2.29	2.82	3.78	4.55	2.38	4.18	4.06	4.19	4.21	4.16	2.96	2.62	3.01	3.81	3.53	4.05	1.89	2.84	2.18	3.62	3.91	2.47	4.11	6.21	2.35	1.86	2.84	2.17	3.99	2.82	2.97	4.26	2.11	1.94	2.21	2.98	4.21	2.01	3.22	2.32	1.76	2.9	3.29	4.57	4.58	3.59	2.48	1.68	2.6	3.77	1.31	2.27	2.76	4.05	2.59	2.78	4.08	2.0	2.83	2.61	2.54	2.96	2.58	3.17	3.58	2.48	2.65	2.89	4.0	2.66	2.26	4.28	2.82	4.06	2.96	3.78	2.52	2.84	1.78	3.09	4.62	5.42	5.82	3.46	3.61	3.29	3.6	3.68	4.02	2.32	3.31	3.12	2.29	2.17	1.9	3.23	3.33	3.57	4.75	4.0	3.75	2.15	2.93	2.95	3.13	2.61	2.76	2.48	4.9	2.47	4.1	2.7	1.98	2.87	2.95	3.71	3.16	2.3	5.01	4.36	2.57	1.79	2.63	1.8	3.78	2.98	1.29	2.46	2.42	2.77	3.73	3.8	1.37	2.75	3.1	2.93	2.97	3.04	6.52	4.52	2.51	2.53	2.16	2.56	5.58	2.28	2.18	2.83	2.73	4.41	4.55	2.68	2.94	2.88	2.19	3.71	3.39	3.52	3.46	2.74	2.39	2.36	2.55	3.7	3.89	603.4799999999998
unmapped	3.0154036158749955	2.5560395690901583	1.7977554822631934	1.9284379267968867	2.186306065571054	2.279629766124127	1.5227059836399626	1.3418261140239098	2.5283499091887163	2.0055538323727213	1.3840389475106327	2.0830351505450104	1.7438555739202113	1.8294344532109503	0.8627490394601581	1.281701976575502	2.114713830795908	1.6976051536579286	1.9325242270312086	2.5611886275964912	1.8090546380460237	2.2389704919963878	6.148716775156657	1.1992079564393807	2.4044965302376595	2.318474984757666	1.6339333531052653	1.3957377857903466	1.4704548462800426	1.9895247496348263	3.9334209242984395	0.9639173774830627	3.6059205872720446	3.524466115106904	2.135297260088292	4.530201373776903	1.937322755430219	1.705344326574	1.5108808519827353	2.2679465289202025	2.26434679618207	2.3393259576677057	1.750848466403432	0.8259700257001514	1.845937194526961	1.43656231120728	2.2334610907815753	1.8602106790992259	1.1633113046154961	2.3686189506745734	4.6829781095678005	1.3677453009411888	1.3534131886187577	1.0273379889523446	1.3751014635683585	3.1046207654620606	0.8722844102222357	1.9785623957545	2.3988932245927685	1.2620651211784364	0.6893816139117325	1.710306765542936	1.6615467347964057	2.3341471926695245	1.2721687072380266	1.8740193691500298	1.49574350751799	0.5834199748741107	1.426619282168172	1.7753315482602174	2.040848617282799	2.7887628770093995	1.9051707827722189	1.2559220071532808	0.613297503676571	1.6137054641135173	2.130351848243926	0.7521507045816078	0.9742796438214378	1.8110028156001252	4.486705958797124	1.5210727375173818	1.7397581327565173	2.3082144441386196	1.2167691502472686	2.078661407942568	1.757378421175	1.4513911028614674	1.8341490551541884	1.367139807852614	0.8384318353572057	1.9107089134830333	1.5887532072561417	1.9254571344798057	1.2384621921917613	4.904453230968475	1.0046546754712877	1.1593957601658698	2.3608025984011514	1.547099707125704	3.8726650383065957	1.161449780766096	2.274977759708923	2.0655404725954294	2.0157179531932057	1.365746745127895	2.1860386867962163	1.9904319864710367	4.302737958982763	3.5565092196088948	3.9473504588621187	2.248006113995127	1.178623343277544	2.1278549736590433	2.2594072340844154	2.858012842240297	1.6632141492163188	1.2086590724275037	1.9152976582184136	1.3903812018969761	1.2485365565766169	0.6259268172504824	1.7448111893669065	1.9797657164595654	2.74417943887294	2.722672160756495	1.8368073375550362	1.7326165634922228	0.6292403425946231	1.7063975796204873	1.7288344939291072	1.762115319695754	0.9428097145575038	1.69582373042158	1.4553607488838112	2.4180714928227918	1.765310465294614	3.1407903179011476	1.8156380153510177	1.1245322515629654	2.2048613237004835	3.9893375751249796	2.3824054119628357	1.4926764939726127	1.212673763929571	2.483613851139959	4.645101481286445	1.1735412922684931	0.6102755512928525	1.8044144973417526	1.4670398652809549	2.441540348585615	2.3145324125238087	1.1999652875492144	1.3709987856418162	1.5869784529761832	1.6989678525801624	2.274327158606568	3.6674813897166327	0.48572047469681284	1.30898871353556	2.4816427123446587	1.4519863401974937	1.0361800930738407	2.193633514761669	3.074208051554382	4.026542729353501	1.5018865571462638	1.296965782311504	0.9849160706849378	1.63083431499564	5.327826254405238	1.551780686163319	1.5563403909404536	1.8479839402739875	0.9265176527660407	2.112166426212557	3.883590040773926	2.034892233970707	2.118522398677235	2.240270726197443	2.2501614613659697	3.9683835636229308	1.960500501854297	3.250837324746257	2.003548878455009	1.5058227980133216	1.271320558559586	0.805726390320656	1.3141041809570437	3.1637692639546757	2.094637145247564	382.92718050708675
human_virus	0.17	0.19	0.11	0.08	0.15	0.12	0.18	0.12	0.16	0.16	0.11	0.18	0.13	0.18	0.17	0.15	0.22	0.11	0.15	0.19	0.13	0.19	0.2	0.18	0.15	0.11	0.15	0.12	0.15	0.18	0.16	0.15	0.16	0.21	0.23	0.13	0.2	0.15	0.16	0.15	0.21	0.13	0.22	0.11	0.15	0.1	0.16	0.23	0.14	0.16	0.16	0.11	0.07	0.19	0.12	0.16	0.21	0.13	0.22	0.1	0.12	0.07	0.14	0.21	0.08	0.16	0.12	0.1	0.15	0.13	0.24	0.24	0.21	0.15	0.1	0.15	0.19	0.09	0.13	0.12	0.11	0.17	0.14	0.19	0.09	0.12	0.13	0.14	0.13	0.13	0.26	0.16	0.11	0.11	0.16	0.11	0.17	0.12	0.22	0.14	0.14	0.19	0.19	0.12	0.14	0.08	0.12	0.25	0.22	0.29	0.1	0.15	0.21	0.2	0.17	0.17	0.1	0.19	0.14	0.11	0.12	0.12	0.16	0.13	0.14	0.23	0.2	0.2	0.14	0.15	0.19	0.17	0.19	0.15	0.14	0.29	0.13	0.2	0.14	0.11	0.12	0.07	0.2	0.19	0.13	0.25	0.15	0.18	0.11	0.11	0.06	0.15	0.11	0.03	0.13	0.11	0.17	0.19	0.12	0.07	0.14	0.15	0.16	0.21	0.14	0.31	0.17	0.12	0.16	0.13	0.14	0.21	0.11	0.1	0.14	0.18	0.23	0.18	0.13	0.12	0.16	0.07	0.11	0.14	0.16	0.17	0.15	0.14	0.15	0.13	0.14	0.17	29.330000000000013
human_virus-bacteria_collection	0.11	0.12	0.07	0.05	0.11	0.09	0.15	0.05	0.11	0.08	0.06	0.12	0.07	0.1	0.07	0.12	0.12	0.06	0.11	0.15	0.08	0.13	0.21	0.1	0.1	0.06	0.08	0.07	0.09	0.12	0.14	0.06	0.12	0.15	0.14	0.12	0.14	0.09	0.08	0.08	0.13	0.1	0.14	0.05	0.09	0.06	0.11	0.14	0.09	0.12	0.15	0.06	0.04	0.17	0.06	0.12	0.09	0.09	0.15	0.06	0.05	0.05	0.09	0.19	0.05	0.1	0.06	0.03	0.07	0.08	0.17	0.15	0.11	0.08	0.04	0.09	0.14	0.04	0.09	0.09	0.12	0.08	0.1	0.14	0.05	0.08	0.08	0.07	0.09	0.07	0.1	0.11	0.07	0.08	0.06	0.12	0.07	0.07	0.15	0.08	0.12	0.11	0.12	0.07	0.08	0.04	0.09	0.15	0.2	0.22	0.1	0.14	0.09	0.17	0.1	0.12	0.06	0.14	0.09	0.06	0.05	0.04	0.09	0.09	0.1	0.17	0.13	0.12	0.04	0.09	0.1	0.11	0.09	0.09	0.08	0.2	0.06	0.17	0.08	0.04	0.08	0.06	0.13	0.12	0.06	0.18	0.13	0.07	0.04	0.08	0.04	0.14	0.11	0.02	0.08	0.07	0.09	0.14	0.12	0.02	0.08	0.1	0.09	0.1	0.09	0.25	0.15	0.07	0.08	0.06	0.08	0.22	0.06	0.07	0.09	0.1	0.15	0.14	0.08	0.08	0.09	0.05	0.11	0.1	0.13	0.11	0.08	0.07	0.06	0.07	0.11	0.12	18.88999999999998
bacteria_collection_HR-hsa_HR	0.11	0.12	0.07	0.04	0.11	0.07	0.07	0.03	0.11	0.07	0.06	0.14	0.07	0.1	0.05	0.06	0.12	0.05	0.11	0.15	0.08	0.12	0.17	0.06	0.1	0.05	0.07	0.06	0.09	0.11	0.11	0.05	0.09	0.11	0.14	0.09	0.12	0.08	0.07	0.08	0.13	0.09	0.12	0.03	0.08	0.05	0.12	0.13	0.05	0.12	0.14	0.06	0.04	0.06	0.05	0.08	0.06	0.09	0.15	0.05	0.03	0.04	0.09	0.15	0.05	0.09	0.05	0.03	0.07	0.08	0.15	0.15	0.12	0.07	0.03	0.07	0.12	0.02	0.05	0.06	0.08	0.07	0.08	0.13	0.05	0.08	0.08	0.06	0.09	0.06	0.07	0.13	0.07	0.07	0.06	0.08	0.06	0.06	0.15	0.07	0.1	0.07	0.12	0.06	0.08	0.03	0.08	0.14	0.15	0.21	0.06	0.1	0.07	0.11	0.1	0.12	0.06	0.07	0.08	0.05	0.05	0.03	0.1	0.09	0.09	0.17	0.13	0.1	0.03	0.09	0.09	0.09	0.06	0.09	0.07	0.17	0.06	0.19	0.07	0.03	0.07	0.04	0.12	0.07	0.06	0.17	0.1	0.06	0.03	0.08	0.03	0.12	0.08	0.01	0.06	0.06	0.08	0.12	0.12	0.02	0.08	0.1	0.09	0.07	0.08	0.26	0.12	0.07	0.07	0.05	0.07	0.18	0.05	0.05	0.08	0.07	0.13	0.1	0.08	0.08	0.09	0.04	0.07	0.09	0.09	0.11	0.08	0.06	0.05	0.07	0.08	0.11	16.359999999999996
human_virus-hsa-bacteria_collection	0.08	0.1	0.06	0.04	0.1	0.08	0.12	0.06	0.09	0.06	0.05	0.11	0.05	0.08	0.09	0.1	0.11	0.05	0.08	0.14	0.06	0.12	0.17	0.1	0.06	0.04	0.05	0.05	0.06	0.11	0.12	0.08	0.11	0.11	0.13	0.1	0.11	0.07	0.06	0.06	0.11	0.09	0.12	0.05	0.06	0.04	0.08	0.13	0.07	0.11	0.12	0.05	0.03	0.1	0.04	0.09	0.09	0.07	0.11	0.05	0.06	0.04	0.07	0.13	0.04	0.07	0.04	0.04	0.06	0.08	0.14	0.14	0.1	0.05	0.04	0.06	0.09	0.03	0.08	0.06	0.09	0.06	0.06	0.12	0.04	0.06	0.05	0.06	0.06	0.06	0.11	0.1	0.05	0.05	0.05	0.09	0.09	0.05	0.12	0.07	0.11	0.12	0.1	0.05	0.06	0.03	0.07	0.14	0.16	0.18	0.08	0.1	0.09	0.11	0.09	0.1	0.04	0.14	0.08	0.05	0.04	0.05	0.08	0.08	0.09	0.14	0.11	0.11	0.04	0.06	0.06	0.08	0.08	0.06	0.05	0.15	0.05	0.1	0.06	0.05	0.07	0.06	0.11	0.12	0.05	0.16	0.1	0.05	0.04	0.06	0.03	0.1	0.07	0.01	0.06	0.05	0.06	0.1	0.08	0.03	0.07	0.06	0.07	0.12	0.06	0.21	0.12	0.05	0.06	0.05	0.05	0.15	0.05	0.05	0.07	0.1	0.13	0.12	0.06	0.08	0.06	0.03	0.08	0.1	0.1	0.1	0.06	0.05	0.06	0.06	0.09	0.11	15.370000000000005
bacteria_collection_HR	0.1	0.06	0.04	0.03	0.06	0.05	0.03	0.01	0.06	0.03	0.04	0.08	0.05	0.06	0.01	0.03	0.05	0.05	0.06	0.1	0.06	0.09	0.29	0.02	0.08	0.06	0.05	0.03	0.04	0.07	0.07	0.02	0.09	0.08	0.08	0.16	0.12	0.05	0.04	0.06	0.06	0.07	0.06	0.01	0.06	0.04	0.09	0.06	0.02	0.1	0.39	0.03	0.03	0.03	0.03	0.06	0.01	0.07	0.08	0.03	0.01	0.05	0.06	0.08	0.03	0.06	0.05	0.01	0.03	0.06	0.08	0.12	0.06	0.03	0.01	0.04	0.08	0.01	0.01	0.05	0.08	0.03	0.05	0.1	0.03	0.06	0.04	0.03	0.05	0.04	0.01	0.08	0.05	0.06	0.03	0.11	0.02	0.03	0.09	0.05	0.08	0.02	0.08	0.05	0.05	0.03	0.08	0.08	0.1	0.13	0.08	0.08	0.04	0.07	0.14	0.12	0.05	0.03	0.07	0.04	0.03	0.01	0.06	0.08	0.08	0.11	0.08	0.06	0.01	0.06	0.06	0.05	0.02	0.05	0.03	0.13	0.04	0.04	0.04	0.01	0.06	0.06	0.07	0.02	0.03	0.1	0.09	0.03	0.01	0.04	0.04	0.08	0.07	0.03	0.04	0.04	0.04	0.08	0.14	0.01	0.04	0.05	0.05	0.02	0.06	0.13	0.09	0.05	0.04	0.02	0.04	0.12	0.04	0.04	0.05	0.02	0.08	0.09	0.04	0.05	0.04	0.06	0.08	0.07	0.07	0.07	0.05	0.03	0.01	0.04	0.09	0.08	11.219999999999985
